# iter energy acceptance cpu_seconds
0 3.25176416879 0.99896 0.584140863
1 3.28741793211 0.99893 0.588879757
2 3.23048631329 0.9991 0.62151775
3 3.25551036206 0.99892 0.570546318
4 3.24183889193 0.99899 0.57076515
5 3.2606572209 0.99906 0.583492841
6 3.23149941598 0.99903 0.564667859
7 3.28630016735 0.99899 0.566629214
8 3.25429939472 0.99898 0.578543518
9 3.23552353406 0.99912 0.5638037
10 3.23012760336 0.99918 0.582750318
11 3.22145557729 0.999 0.572198745
12 3.2252641402 0.999 0.572206958
13 3.21176812188 0.99881 0.578219646
14 3.2182618684 0.999 0.579352435
15 3.23152584728 0.99911 0.569170431
16 3.2527377143 0.99896 0.585293111
17 3.17620908947 0.99884 0.566892478
18 3.19641432636 0.99895 0.576964312
19 3.18136969149 0.99906 0.568746489
20 3.2280249454 0.99898 0.563476919
21 3.25272919828 0.99888 0.579892734
22 3.21076881886 0.9988 0.565914797
23 3.24654851324 0.99905 0.564263173
24 3.24403299563 0.99912 0.56293191
25 3.23899032445 0.99896 0.565869185
26 3.21496660554 0.99919 0.566934567
27 3.26302371126 0.99915 0.577050073
28 3.18257884278 0.99904 0.571498998
29 3.20079746261 0.99898 0.568842309
30 3.23455502021 0.99896 0.571446658
31 3.22396248732 0.99899 0.576446699
32 3.22357541743 0.99898 0.564247147
33 3.23016896014 0.99899 2.240247329
34 3.19899155804 0.99923 0.620469637
35 3.2211955227 0.99908 0.570084654
36 3.17037479201 0.99902 0.56289827
37 3.16687252953 0.99907 0.569529804
38 3.20405380855 0.99924 0.56613713
39 3.20409042558 0.99926 0.575175228
40 3.18976924242 0.99903 0.577990697
41 3.20660947452 0.99909 0.562463028
42 3.21478804338 0.99907 0.56572729
43 3.21017795872 0.99917 0.5690861
44 3.14052432103 0.99922 0.571161218
45 3.16366475468 0.99906 0.56699481
46 3.12662236598 0.99916 0.572720248
47 3.16783634862 0.99925 0.571871651
48 3.14428194345 0.99927 0.578117538
49 3.17737371964 0.99906 0.560084046
50 3.16758063865 0.99919 0.570736579
51 3.14194154807 0.99908 0.566348466
52 3.19178149394 0.99922 0.565190605
53 3.14555024775 0.9992 0.570680238
54 3.15896443718 0.99909 0.557071679
55 3.15707574308 0.99916 0.572048836
56 3.16236417523 0.9991 0.564515611
57 3.15139375622 0.99917 0.564012687
58 3.15020986975 0.99936 0.584854257
59 3.14078197418 0.99907 0.560400888
60 3.14049594086 0.99904 0.589146745
61 3.20610828473 0.99933 0.571023212
62 3.16803236534 0.99913 0.563505363
63 3.1749810352 0.99903 0.566255137
64 3.14254135462 0.99909 0.567968294
65 3.16130222637 0.99927 0.56750962
66 3.13904405105 0.99904 0.571780416
67 3.14019886355 0.99899 0.569374942
68 3.1637425401 0.99921 0.565171689
69 3.14556275476 0.99906 0.567189654
70 3.12338175191 0.99924 0.573951268
71 3.15683511261 0.99914 0.618273906
72 3.15444041952 0.9991 0.566422798
73 3.13426382981 0.99932 0.572829891
74 3.15492704842 0.99923 0.5855231
75 3.15912296841 0.9992 0.559506975
76 3.15649590105 0.99918 0.565819083
77 3.13125839346 0.99917 0.570460922
78 3.16075619519 0.99907 0.566356029
79 3.15191782407 0.99924 0.582266145
80 3.14035263142 0.9992 0.571966239
81 3.13323682955 0.99918 0.566068292
82 3.13377064585 0.99916 0.57759391
83 3.16805412229 0.99926 0.562777175
84 3.13817462562 0.9992 0.575428166
85 3.18121570285 0.99928 0.591898906
86 3.15497174302 0.99919 0.565713089
87 3.13729879867 0.99919 2.229576582
88 3.1550859343 0.99916 0.595969806
89 3.13808027907 0.99923 0.565279585
90 3.15595604645 0.99903 0.578783277
91 3.16170634356 0.99919 0.568067102
92 3.11270586028 0.99907 0.599013607
93 3.11703176864 0.99913 0.604727751
94 3.1589296506 0.99907 0.608401648
95 3.16379391301 0.99915 0.641822308
96 3.15151327083 0.99918 0.668088916
97 3.15497735225 0.99901 0.627104101
98 3.16752503226 0.99909 0.616335847
99 3.16730677549 0.99927 0.628346586
