# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.8944092304e-03,   3.6575817870e+00,   9.2870000000e-01
   4.0305039467e-03,   3.6997347480e+00,   9.2710000000e-01
   2.0676283033e-02,   4.8771399490e+00,   9.3560000000e-01
   7.2854384515e-03,   5.4091684350e+00,   9.3140000000e-01
   6.1563046283e-03,   5.4199983110e+00,   9.3540000000e-01
   9.0313996075e-03,   4.7779434610e+00,   9.3000000000e-01
   2.7136390987e-03,   4.2432431480e+00,   9.3320000000e-01
   2.6873644240e-03,   4.1737398370e+00,   9.2880000000e-01
   6.7379057597e-03,   4.0955425520e+00,   9.3200000000e-01
   8.8574435482e-03,   4.5975416030e+00,   9.3520000000e-01
   1.9366448825e-02,   4.4649344590e+00,   9.3440000000e-01
   2.3416996274e-02,   4.1158251320e+00,   9.3060000000e-01
   1.4286599092e-02,   4.2499191320e+00,   9.3260000000e-01
   7.7039690135e-03,   4.0736964370e+00,   9.3190000000e-01
   1.6308344357e-02,   4.0627247540e+00,   9.3670000000e-01
   1.8731201391e-02,   4.1966949390e+00,   9.3250000000e-01
   1.4627734502e-02,   4.1781946110e+00,   9.3390000000e-01
   4.6966189682e-03,   4.1263729240e+00,   9.3110000000e-01
   2.2260861160e-02,   4.1329927150e+00,   9.3390000000e-01
   2.2507457960e-02,   4.1249781840e+00,   9.3040000000e-01
   2.0848652377e-02,   4.1124294270e+00,   9.3480000000e-01
   3.9853474148e-02,   4.0895972190e+00,   9.3360000000e-01
   7.2078997522e-03,   4.0951063000e+00,   9.2880000000e-01
   4.9347904908e-02,   4.1002950770e+00,   9.3120000000e-01
   3.4794998817e-02,   4.1787838580e+00,   9.3250000000e-01
   1.2294857004e-02,   4.0924981490e+00,   9.3600000000e-01
   1.4288693997e-02,   4.1437792010e+00,   9.2720000000e-01
   2.3230479698e-02,   4.1382617900e+00,   9.3740000000e-01
   6.1814170848e-02,   4.0966217230e+00,   9.3150000000e-01
   5.4258380134e-02,   4.0834034900e+00,   9.3040000000e-01
   7.2624419563e-02,   4.2611120560e+00,   9.3200000000e-01
   1.2131385329e-01,   4.0775581710e+00,   9.3060000000e-01
   4.8769045028e-02,   4.0704908380e+00,   9.3200000000e-01
   1.3399950785e-01,   4.3082156730e+00,   9.3410000000e-01
   1.8201824794e-01,   4.2274371260e+00,   9.2980000000e-01
   1.0939745042e-01,   4.1259808770e+00,   9.2770000000e-01
   7.4327079066e-02,   4.0858320480e+00,   9.2880000000e-01
   2.1741270924e-01,   4.1060204380e+00,   9.2780000000e-01
   1.3226705338e-01,   4.1551473960e+00,   9.3690000000e-01
   1.9203165055e-01,   4.6333517940e+00,   9.2990000000e-01
   1.8979858261e-01,   4.1521510480e+00,   9.2680000000e-01
   1.9001589776e-01,   4.1244815250e+00,   9.3300000000e-01
   1.3823494946e-01,   4.1004815460e+00,   9.2950000000e-01
   1.7071879841e-01,   4.0920642100e+00,   9.3400000000e-01
   1.0907418331e-01,   4.2519251790e+00,   9.3200000000e-01
   7.4497953117e-02,   4.1631133620e+00,   9.2780000000e-01
   1.4908037768e-01,   4.1387354030e+00,   9.2830000000e-01
   1.7919126788e-01,   4.0955793720e+00,   9.3260000000e-01
   2.0738505284e-01,   4.1109299340e+00,   9.3080000000e-01
   9.5884086184e-02,   4.1388561860e+00,   9.3050000000e-01
   3.2831545700e-01,   4.1212579700e+00,   9.3290000000e-01
   2.5289815317e-01,   4.1200883850e+00,   9.3690000000e-01
   2.8206397531e-01,   4.4624097010e+00,   9.3420000000e-01
   2.9170510374e-01,   4.2614219360e+00,   9.3410000000e-01
   1.4390896338e-01,   4.0927775220e+00,   9.2800000000e-01
   3.6881909506e-01,   4.0953261290e+00,   9.3250000000e-01
   2.5545048261e-02,   4.1105944900e+00,   9.3170000000e-01
   2.3780207752e-01,   4.1231688460e+00,   9.3170000000e-01
   2.3953466388e-01,   4.1238062130e+00,   9.3120000000e-01
   2.8141030123e-01,   4.2557829240e+00,   9.3710000000e-01
   2.0788047119e-01,   4.1154540840e+00,   9.3380000000e-01
   3.7922263038e-01,   4.0918463280e+00,   9.3360000000e-01
   4.9907328163e-02,   4.1337796930e+00,   9.2970000000e-01
   2.3835285702e-01,   4.4068538130e+00,   9.3320000000e-01
   2.5528362924e-01,   4.1258642730e+00,   9.3130000000e-01
   2.0807094076e-01,   4.1598867130e+00,   9.3350000000e-01
   1.2318531465e-01,   4.1768420930e+00,   9.2840000000e-01
   3.2038711073e-01,   4.6663628370e+00,   9.3370000000e-01
   2.7691435522e-01,   4.0960691760e+00,   9.2910000000e-01
   1.6069612847e-01,   4.1009208490e+00,   9.2940000000e-01
   2.4553070273e-01,   4.0860530130e+00,   9.3120000000e-01
   9.2877427515e-02,   4.0710547090e+00,   9.2930000000e-01
   2.7430780100e-01,   4.1173028530e+00,   9.3270000000e-01
   1.2349308088e-01,   4.3059660740e+00,   9.3090000000e-01
   1.5682016835e-01,   4.2023257390e+00,   9.3740000000e-01
   1.9719062867e-01,   4.5845938390e+00,   9.3130000000e-01
   1.0514265849e-01,   4.1664398200e+00,   9.3030000000e-01
   2.4995053630e-01,   4.0847843760e+00,   9.3340000000e-01
   1.4107445913e-01,   4.0960465630e+00,   9.3400000000e-01
   5.1798495008e-02,   4.1625094010e+00,   9.2620000000e-01
   2.8407461297e-01,   4.1565314690e+00,   9.3300000000e-01
   3.3308486758e-01,   4.9366396640e+00,   9.3380000000e-01
   1.2078018207e-01,   4.3392381630e+00,   9.2730000000e-01
   1.0478445565e-01,   4.0980247790e+00,   9.3370000000e-01
   1.9656344137e-01,   4.0903060040e+00,   9.3100000000e-01
   2.2584240621e-01,   4.0984295820e+00,   9.3220000000e-01
   2.2695976196e-01,   4.0887604520e+00,   9.2920000000e-01
   2.5204259628e-01,   4.2914800260e+00,   9.2940000000e-01
   1.7621232151e-01,   4.1890397650e+00,   9.3140000000e-01
   2.0041238122e-01,   4.0919885510e+00,   9.2850000000e-01
   2.1620448348e-01,   4.1954474470e+00,   9.2930000000e-01
   2.9489516165e-01,   4.1188675700e+00,   9.3520000000e-01
   2.1796348568e-01,   4.1202492700e+00,   9.3090000000e-01
   2.5716864528e-01,   4.1570804320e+00,   9.2630000000e-01
   2.6819817864e-01,   4.0854699620e+00,   9.3100000000e-01
   2.5580939013e-01,   4.0855616030e+00,   9.3100000000e-01
   2.6943638704e-01,   4.6120384840e+00,   9.2760000000e-01
   2.6618599670e-01,   4.2287217540e+00,   9.3090000000e-01
   1.7830614276e-01,   4.1051162410e+00,   9.2950000000e-01
   1.4136608383e-01,   4.1225930840e+00,   9.2910000000e-01
   1.5349493288e-01,   4.0815230510e+00,   9.2610000000e-01
   2.3717663005e-01,   4.1045315550e+00,   9.3460000000e-01
   2.1873148324e-01,   4.2247999760e+00,   9.3450000000e-01
   3.1236574895e-01,   4.1888782300e+00,   9.3270000000e-01
   1.5820410714e-01,   4.1192833630e+00,   9.3490000000e-01
   2.0307703033e-01,   4.1513142240e+00,   9.2950000000e-01
   2.2357615199e-01,   4.0898631510e+00,   9.3560000000e-01
   1.9993853862e-01,   4.0717913740e+00,   9.3140000000e-01
   2.9730300053e-01,   4.1420262270e+00,   9.3410000000e-01
   1.2825033202e-01,   4.0887056440e+00,   9.2850000000e-01
   2.4993443191e-01,   4.2058801480e+00,   9.2400000000e-01
   1.5924215094e-01,   4.2834703370e+00,   9.3190000000e-01
   1.1762399356e-01,   4.1395596460e+00,   9.3750000000e-01
   1.3876474026e-01,   4.0735710070e+00,   9.2760000000e-01
   2.3740055077e-01,   4.0952603830e+00,   9.2730000000e-01
   2.4959303138e-01,   4.0696129320e+00,   9.3280000000e-01
   2.7060963428e-01,   4.2900106050e+00,   9.3530000000e-01
   5.9856410956e-02,   4.1972489760e+00,   9.3350000000e-01
