# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.9089514322e-03,   3.6197082970e+00,   9.3710000000e-01
   8.6824377273e-04,   3.7305077160e+00,   9.3190000000e-01
   2.5365056180e-03,   3.6146769330e+00,   9.3200000000e-01
   5.8375108368e-03,   3.5693015940e+00,   9.2920000000e-01
   2.4000884201e-03,   3.5748560770e+00,   9.2940000000e-01
   1.9214549426e-03,   3.5689674900e+00,   9.3450000000e-01
   1.8736719813e-03,   3.5756525730e+00,   9.3060000000e-01
   8.9267790652e-04,   3.6417636860e+00,   9.3660000000e-01
   3.5870519506e-03,   3.8192307060e+00,   9.3230000000e-01
   1.1086978493e-03,   4.0718635540e+00,   9.3580000000e-01
   9.8485966885e-04,   3.7180094010e+00,   9.3180000000e-01
   1.1711884449e-03,   3.7515124620e+00,   9.3230000000e-01
   4.9636973400e-03,   3.7129023550e+00,   9.2960000000e-01
   1.7440912335e-03,   3.6801859280e+00,   9.3110000000e-01
   5.8959239855e-03,   3.6868441690e+00,   9.3200000000e-01
   6.5279319108e-03,   3.7093440090e+00,   9.3540000000e-01
   3.1816595208e-03,   3.6913975170e+00,   9.3230000000e-01
   9.5675317328e-03,   3.6447920110e+00,   9.3670000000e-01
   5.0527716683e-03,   3.8426957600e+00,   9.3090000000e-01
   5.7165962111e-03,   3.7656522330e+00,   9.3530000000e-01
   1.9093563983e-03,   3.7219086190e+00,   9.3150000000e-01
   4.7237720557e-03,   3.9441048940e+00,   9.3380000000e-01
   6.7914313286e-03,   4.2409158040e+00,   9.2910000000e-01
   8.6658733893e-03,   4.3537027610e+00,   9.3450000000e-01
   2.8000352495e-03,   4.5641955710e+00,   9.3500000000e-01
   1.0901341445e-02,   4.4982980630e+00,   9.3250000000e-01
   6.4935340600e-03,   6.2424001150e+00,   9.3340000000e-01
   4.0527775570e-03,   4.2685976650e+00,   9.3340000000e-01
   1.9048862770e-03,   4.0460588530e+00,   9.3520000000e-01
   1.1964031072e-02,   4.0858497390e+00,   9.3140000000e-01
   1.5200446195e-02,   3.9454129100e+00,   9.3110000000e-01
   1.5854312697e-02,   3.8988804790e+00,   9.3200000000e-01
   9.5063756581e-03,   3.9157649150e+00,   9.2920000000e-01
   1.4581792927e-03,   3.7958306550e+00,   9.3040000000e-01
   9.6556761538e-03,   3.7618209060e+00,   9.3660000000e-01
   4.3222621243e-03,   3.7404966280e+00,   9.3270000000e-01
   1.6460309802e-03,   3.6943584870e+00,   9.3150000000e-01
   2.5821171690e-02,   3.6563698560e+00,   9.2750000000e-01
   4.1431776494e-02,   3.6383619070e+00,   9.3120000000e-01
   1.9739994652e-02,   3.6316448210e+00,   9.3380000000e-01
   2.8221494094e-02,   3.6970626020e+00,   9.3270000000e-01
   5.0388898739e-02,   3.9182286050e+00,   9.2950000000e-01
   4.9323913435e-02,   3.6792695090e+00,   9.3100000000e-01
   3.7973965219e-02,   3.6965869820e+00,   9.3360000000e-01
   1.6769129944e-02,   3.8180860290e+00,   9.3370000000e-01
   8.2535229459e-02,   3.7419090700e+00,   9.3180000000e-01
   3.9855746018e-02,   3.7361771070e+00,   9.2720000000e-01
   4.3458385528e-02,   3.7715577670e+00,   9.2950000000e-01
   1.5167325692e-02,   3.7856819450e+00,   9.3080000000e-01
   4.5112919004e-02,   3.8221764360e+00,   9.2910000000e-01
   1.4580207135e-02,   3.8118237740e+00,   9.3310000000e-01
   1.1620029730e-01,   4.1917002380e+00,   9.3270000000e-01
   7.9766910769e-02,   4.0230129310e+00,   9.3040000000e-01
   7.3992793993e-02,   3.8892971860e+00,   9.3060000000e-01
   3.9392489961e-02,   3.9643784740e+00,   9.3230000000e-01
   6.0795256448e-03,   3.9214779660e+00,   9.3360000000e-01
   1.1687865914e-01,   4.0786065560e+00,   9.2920000000e-01
   1.3705244440e-01,   4.0448695700e+00,   9.3090000000e-01
   1.1628856196e-01,   4.0961393810e+00,   9.3390000000e-01
   1.6236992436e-01,   4.1418894070e+00,   9.3490000000e-01
   1.3017202385e-01,   4.0139750640e+00,   9.2710000000e-01
   4.9754280243e-02,   4.0240598720e+00,   9.3660000000e-01
   1.7776029628e-01,   4.0377381560e+00,   9.3490000000e-01
   1.0069993514e-01,   4.1840770070e+00,   9.3710000000e-01
   1.8011379018e-01,   4.4908568730e+00,   9.2960000000e-01
   7.5631906479e-02,   4.0148797950e+00,   9.2880000000e-01
   1.3913144605e-01,   4.0237478490e+00,   9.3330000000e-01
   1.0702066120e-01,   4.1678985610e+00,   9.3370000000e-01
   1.2714567091e-01,   4.0189361550e+00,   9.2890000000e-01
   1.2483593577e-01,   3.8999443880e+00,   9.3830000000e-01
   1.5595590838e-01,   3.9838574730e+00,   9.3360000000e-01
   1.5215807354e-01,   3.9806632120e+00,   9.2980000000e-01
   1.5940081411e-01,   3.7534557540e+00,   9.3340000000e-01
   2.4498747016e-01,   3.7450900120e+00,   9.2540000000e-01
   1.0957263160e-01,   3.7849968760e+00,   9.3260000000e-01
   1.5448830917e-01,   3.8181591750e+00,   9.3420000000e-01
   1.6487127433e-01,   3.8558822430e+00,   9.2910000000e-01
   2.1344735476e-01,   3.8639917550e+00,   9.3040000000e-01
   2.2925803741e-02,   3.9180945160e+00,   9.3150000000e-01
   1.1451292008e-01,   3.9262550840e+00,   9.3400000000e-01
   3.0686976768e-02,   3.9514006340e+00,   9.3180000000e-01
   2.1431366388e-01,   4.4316739100e+00,   9.2810000000e-01
   2.0120004100e-01,   4.2098419830e+00,   9.3170000000e-01
   2.0164882091e-02,   4.0118756260e+00,   9.3160000000e-01
   1.1636631261e-01,   3.9885583350e+00,   9.2900000000e-01
   2.4469951325e-01,   4.0090803410e+00,   9.3540000000e-01
   2.3993550956e-01,   4.2096652310e+00,   9.3300000000e-01
   2.5720212175e-01,   4.0044918190e+00,   9.2980000000e-01
   7.1976896794e-02,   4.0576054850e+00,   9.3550000000e-01
   2.1297125231e-01,   3.9893251700e+00,   9.3780000000e-01
   1.7425929524e-01,   4.0807532510e+00,   9.3190000000e-01
   2.1347514367e-01,   4.0191344200e+00,   9.3310000000e-01
   5.8711161516e-02,   4.0272435990e+00,   9.3510000000e-01
   2.0429409985e-01,   4.0259460220e+00,   9.3150000000e-01
   2.6030745347e-01,   3.8724476610e+00,   9.2950000000e-01
   3.4679258690e-01,   3.8833740000e+00,   9.3510000000e-01
   2.6670631613e-01,   3.8244219700e+00,   9.3070000000e-01
   2.4743316824e-01,   3.7603057110e+00,   9.3160000000e-01
   2.1994646812e-01,   3.7772565360e+00,   9.2940000000e-01
   2.0321153642e-01,   3.8195346620e+00,   9.2970000000e-01
   2.5001673199e-01,   3.7936671470e+00,   9.3580000000e-01
   2.3259054282e-01,   3.9262402080e+00,   9.2860000000e-01
   2.6029534297e-01,   5.8634957770e+00,   9.3050000000e-01
   3.2815404241e-01,   5.8698313450e+00,   9.3200000000e-01
   2.2551707122e-01,   4.3184911090e+00,   9.3080000000e-01
   3.0694866525e-01,   4.1780279440e+00,   9.3060000000e-01
   1.3051261125e-01,   4.0912320870e+00,   9.2560000000e-01
   2.2480744876e-01,   4.5223037910e+00,   9.3150000000e-01
   1.7541101971e-01,   4.0268696010e+00,   9.3350000000e-01
   1.7416797005e-01,   4.0435819080e+00,   9.3230000000e-01
   2.4665731329e-01,   4.0330449310e+00,   9.3210000000e-01
   1.6692775286e-01,   4.0648206060e+00,   9.3390000000e-01
   2.0910113357e-01,   3.9997777760e+00,   9.2870000000e-01
   1.7349331510e-01,   4.0231312290e+00,   9.2820000000e-01
   2.1867755525e-01,   4.0929321610e+00,   9.2770000000e-01
   2.4141681064e-01,   4.0894830740e+00,   9.3280000000e-01
   2.5152036554e-01,   4.2587179930e+00,   9.3200000000e-01
   2.2399710914e-01,   4.0059283630e+00,   9.3360000000e-01
   1.9077081413e-01,   4.0879166570e+00,   9.3100000000e-01
   2.8623273940e-01,   4.1933063620e+00,   9.3130000000e-01
   1.9219462303e-01,   4.0294172740e+00,   9.3120000000e-01
   8.9729006961e-02,   4.0345635550e+00,   9.3320000000e-01
   2.5152251105e-01,   4.0337147220e+00,   9.3260000000e-01
   1.2943702207e-01,   4.0058775830e+00,   9.2980000000e-01
   2.7703204815e-01,   4.2908161030e+00,   9.3520000000e-01
   9.2335623187e-02,   4.0510999840e+00,   9.2890000000e-01
   2.1584743452e-01,   4.0151981720e+00,   9.3240000000e-01
   2.7865888337e-01,   3.9909877660e+00,   9.3300000000e-01
   1.7817328212e-01,   3.9925734080e+00,   9.3150000000e-01
   1.8550910863e-01,   4.0117824330e+00,   9.3320000000e-01
   3.0122775418e-01,   3.9421264860e+00,   9.2740000000e-01
   2.5264593920e-01,   3.8559950710e+00,   9.3260000000e-01
   2.0303314083e-01,   3.9884874250e+00,   9.3110000000e-01
   2.0856728090e-01,   4.0011800890e+00,   9.3110000000e-01
   2.6517761476e-01,   4.1055057960e+00,   9.3510000000e-01
   1.9217493362e-01,   4.0025737890e+00,   9.3170000000e-01
   3.3196344440e-02,   4.0255676040e+00,   9.3130000000e-01
   2.7808860167e-01,   4.2246406720e+00,   9.3170000000e-01
   2.4021045529e-01,   4.0205451060e+00,   9.3320000000e-01
   2.6193787794e-01,   4.1032642490e+00,   9.3190000000e-01
   2.6650067104e-01,   4.5206205620e+00,   9.2980000000e-01
   3.0789194860e-01,   4.0189059280e+00,   9.2600000000e-01
   2.3861862939e-01,   4.0280744620e+00,   9.2950000000e-01
   4.0825535186e-01,   4.0051812940e+00,   9.3630000000e-01
   2.6140822246e-01,   4.0335913520e+00,   9.3370000000e-01
   1.3789257327e-01,   4.0267591120e+00,   9.3160000000e-01
   9.1642417097e-02,   4.0155983500e+00,   9.3020000000e-01
   1.4841991464e-01,   4.0460450220e+00,   9.3300000000e-01
   2.4625505329e-01,   4.1889876490e+00,   9.3160000000e-01
   2.3543200305e-01,   4.3239943990e+00,   9.3070000000e-01
   1.7723396391e-01,   4.0439973470e+00,   9.3380000000e-01
   2.2369028782e-01,   4.0681110390e+00,   9.3200000000e-01
   2.5068776481e-01,   4.0342098120e+00,   9.2880000000e-01
   1.0527151139e-01,   4.0140451630e+00,   9.2990000000e-01
   1.8069111272e-01,   3.9980944530e+00,   9.2880000000e-01
   2.4691955232e-01,   4.0316591790e+00,   9.3140000000e-01
   2.5938109424e-01,   4.0190967560e+00,   9.3390000000e-01
   1.2258286420e-01,   4.8135698690e+00,   9.3020000000e-01
   3.6602152634e-01,   4.3427621970e+00,   9.3350000000e-01
   2.9302888155e-01,   4.1683962740e+00,   9.2780000000e-01
   1.8015153269e-01,   4.9558929830e+00,   9.2880000000e-01
   2.2816098273e-01,   4.5536398960e+00,   9.3060000000e-01
   1.4114928710e-01,   4.5581528420e+00,   9.3270000000e-01
   2.9610920285e-01,   4.4766108870e+00,   9.2450000000e-01
   3.0717656774e-01,   4.6114976570e+00,   9.3140000000e-01
   1.8904279668e-01,   4.3306581710e+00,   9.3290000000e-01
   2.3260658284e-01,   4.5953250400e+00,   9.3220000000e-01
   3.0756975699e-01,   4.1714800120e+00,   9.3380000000e-01
   2.1489667850e-01,   5.3832076010e+00,   9.3210000000e-01
   3.5425092039e-01,   4.9573199860e+00,   9.3180000000e-01
   2.7773725604e-01,   4.5803224500e+00,   9.3310000000e-01
   2.8988777622e-01,   4.2435489740e+00,   9.3090000000e-01
   2.8936887288e-01,   4.4065082660e+00,   9.2930000000e-01
   6.0315884944e-02,   4.4675231780e+00,   9.2660000000e-01
   2.1851285592e-01,   4.1836808810e+00,   9.3600000000e-01
   1.2700660723e-01,   4.0958816600e+00,   9.3410000000e-01
   2.7661285477e-01,   4.0637670220e+00,   9.3450000000e-01
   2.1633708535e-01,   4.0128674670e+00,   9.3100000000e-01
   2.6636833580e-01,   4.0487437170e+00,   9.3340000000e-01
   1.9752591028e-01,   4.0404997250e+00,   9.3190000000e-01
   2.9473135323e-01,   4.0710801390e+00,   9.3380000000e-01
   8.5528082399e-02,   4.3999341670e+00,   9.3270000000e-01
   3.2717435724e-01,   4.2638869770e+00,   9.3470000000e-01
   3.0920820233e-01,   4.1259358630e+00,   9.3310000000e-01
   4.0010748258e-01,   4.2025102240e+00,   9.2950000000e-01
   1.6465227063e-01,   4.0474374640e+00,   9.3580000000e-01
   2.9476411227e-01,   4.0310634650e+00,   9.3490000000e-01
   3.2282254798e-01,   4.0387755500e+00,   9.3360000000e-01
   3.9862247617e-02,   4.0184817020e+00,   9.3030000000e-01
   2.7795268999e-01,   3.9941935670e+00,   9.3330000000e-01
   1.4669010581e-01,   4.1152254030e+00,   9.2830000000e-01
