# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.8290884851e-03,   7.7880960600e-01,   9.8130000000e-01
   6.0788609718e-04,   8.1839612200e-01,   9.8060000000e-01
   4.2813035619e-03,   7.7360091700e-01,   9.7870000000e-01
   2.1875368957e-03,   8.3041016400e-01,   9.7890000000e-01
   5.9202298926e-03,   7.9277975100e-01,   9.7970000000e-01
   6.3536989697e-03,   7.2985822000e-01,   9.8040000000e-01
   8.8078704595e-03,   6.9170436700e-01,   9.7970000000e-01
   3.9408191587e-03,   7.8373629000e-01,   9.8120000000e-01
   1.5185131930e-02,   7.6729041700e-01,   9.8160000000e-01
   1.8023050678e-02,   7.1913871100e-01,   9.7970000000e-01
   2.4867065073e-02,   6.6598010300e-01,   9.7860000000e-01
   1.7302137830e-02,   6.6931453800e-01,   9.7850000000e-01
   4.0034050598e-02,   6.5351873700e-01,   9.7580000000e-01
   1.2079372776e-01,   6.4269676300e-01,   9.7950000000e-01
   8.2569922411e-02,   6.5234266900e-01,   9.8320000000e-01
   2.0205299973e-01,   6.4776083700e-01,   9.7800000000e-01
   1.5063319260e-01,   6.6246420800e-01,   9.7840000000e-01
   4.3606478777e-01,   6.7520623600e-01,   9.8130000000e-01
   4.3310220367e-01,   6.4779351300e-01,   9.7860000000e-01
   5.7109027701e-01,   6.4603136600e-01,   9.8120000000e-01
   7.5638971331e-01,   6.3558644500e-01,   9.7780000000e-01
   8.3818369159e-01,   6.6416498400e-01,   9.7760000000e-01
   8.9125292841e-01,   6.7370037900e-01,   9.7920000000e-01
   9.2973416184e-01,   6.8097574500e-01,   9.8130000000e-01
   9.4670922564e-01,   6.7097607000e-01,   9.7800000000e-01
   9.6145507565e-01,   6.4983452800e-01,   9.7890000000e-01
   9.7064013338e-01,   6.1352454600e-01,   9.7710000000e-01
   9.7026595857e-01,   6.1670162800e-01,   9.7710000000e-01
   9.7277204106e-01,   6.1699815600e-01,   9.7910000000e-01
   9.6963007131e-01,   6.2099894000e-01,   9.7970000000e-01
   9.7227697679e-01,   6.0625350400e-01,   9.7850000000e-01
   9.7088042889e-01,   6.2615456500e-01,   9.8080000000e-01
   9.7364720318e-01,   6.7126258100e-01,   9.7980000000e-01
   9.6972687817e-01,   6.5523771700e-01,   9.8180000000e-01
   9.7063102114e-01,   6.2644591500e-01,   9.7840000000e-01
   9.7645792053e-01,   6.3235654200e-01,   9.8130000000e-01
   9.7499818519e-01,   6.6575579800e-01,   9.8010000000e-01
   9.7371945514e-01,   6.6501792400e-01,   9.7990000000e-01
   9.7210428498e-01,   6.5514718800e-01,   9.7790000000e-01
   9.7599470439e-01,   6.3539715800e-01,   9.8020000000e-01
   9.7536760768e-01,   6.1416425100e-01,   9.7940000000e-01
   9.7673520668e-01,   6.1660788100e-01,   9.8130000000e-01
   9.7469723824e-01,   6.1487512200e-01,   9.8050000000e-01
   9.7714591529e-01,   6.1528756500e-01,   9.7770000000e-01
   9.7606538968e-01,   6.6307715300e-01,   9.7780000000e-01
   9.8122289592e-01,   6.7474962000e-01,   9.7920000000e-01
   9.8156180265e-01,   6.7939647600e-01,   9.7960000000e-01
   9.8199754196e-01,   7.6120967900e-01,   9.7980000000e-01
   9.7731988437e-01,   7.4048160500e-01,   9.7950000000e-01
   9.8250823274e-01,   6.7553062900e-01,   9.7750000000e-01
   9.8256403928e-01,   6.3830816600e-01,   9.8020000000e-01
   9.8304176550e-01,   6.2879596600e-01,   9.7820000000e-01
   9.8294868849e-01,   6.2072710400e-01,   9.7770000000e-01
   9.8530562375e-01,   6.2075205800e-01,   9.8090000000e-01
   9.8532766810e-01,   6.4195047000e-01,   9.8010000000e-01
   9.8219010670e-01,   6.9899964200e-01,   9.7810000000e-01
   9.8421628171e-01,   6.3354654200e-01,   9.8100000000e-01
   9.8480187486e-01,   6.6317955200e-01,   9.8060000000e-01
   9.8206694614e-01,   6.2670137000e-01,   9.7820000000e-01
   9.8433926419e-01,   6.1517870100e-01,   9.7870000000e-01
   9.7752620542e-01,   6.2589037300e-01,   9.8080000000e-01
   9.8409102151e-01,   6.1064748000e-01,   9.7800000000e-01
   9.8371797843e-01,   6.1105100700e-01,   9.8030000000e-01
   9.8424906057e-01,   6.1451004200e-01,   9.7720000000e-01
   9.8473992325e-01,   6.2211597200e-01,   9.7950000000e-01
   9.8301922564e-01,   6.5740103300e-01,   9.7960000000e-01
   9.8616675078e-01,   6.6415580500e-01,   9.7880000000e-01
   9.8461470398e-01,   6.5856214500e-01,   9.7750000000e-01
   9.8241008751e-01,   6.1793130000e-01,   9.7850000000e-01
   9.8343047360e-01,   6.0913320600e-01,   9.8150000000e-01
