# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   7.8088702579e-03,   1.7605323830e+00,   9.3540000000e-01
   2.2345267311e-02,   2.0525362820e+00,   9.3380000000e-01
   1.9762494908e-02,   2.3854249210e+00,   9.3550000000e-01
   7.7327431164e-02,   2.4423934780e+00,   9.3310000000e-01
   4.1489979389e-02,   2.1005776410e+00,   9.3090000000e-01
   1.2765042796e-01,   2.0319284840e+00,   9.3060000000e-01
   3.8112818118e-02,   2.0525941130e+00,   9.3360000000e-01
   1.3562393295e-01,   2.0150162790e+00,   9.3000000000e-01
   2.5669903600e-02,   2.0221849100e+00,   9.2540000000e-01
   6.0099811499e-02,   1.9913261820e+00,   9.2860000000e-01
   6.7075636830e-02,   1.9706054940e+00,   9.3180000000e-01
   1.3221143932e-01,   2.3156469810e+00,   9.3340000000e-01
   1.1434491282e-01,   2.2716102530e+00,   9.2880000000e-01
   3.4283188577e-02,   2.1185437390e+00,   9.2970000000e-01
   4.1063394621e-02,   1.9811490260e+00,   9.2870000000e-01
   9.6611046255e-02,   2.3015461030e+00,   9.3450000000e-01
   5.2911270708e-02,   2.0117517140e+00,   9.3240000000e-01
   2.6169273380e-02,   1.9662578190e+00,   9.3350000000e-01
   1.1623411163e-01,   2.0004399150e+00,   9.3570000000e-01
   3.1219473779e-02,   1.9547671680e+00,   9.3270000000e-01
   1.1929261636e-01,   1.9880551080e+00,   9.3010000000e-01
   3.4190711670e-02,   1.9788790470e+00,   9.3190000000e-01
   7.1838330109e-02,   1.9340862620e+00,   9.3090000000e-01
   1.1936354285e-01,   1.9945676970e+00,   9.2920000000e-01
   8.4240572267e-02,   1.9508470540e+00,   9.3510000000e-01
   3.2949105922e-02,   1.9794435200e+00,   9.3700000000e-01
   8.5622876629e-02,   2.0286862250e+00,   9.2810000000e-01
   8.8705095654e-02,   1.9805900550e+00,   9.3520000000e-01
   1.4810604624e-01,   1.9976769970e+00,   9.3440000000e-01
   4.9747072250e-02,   1.9630009230e+00,   9.3410000000e-01
   1.7095998434e-01,   1.9965161160e+00,   9.3280000000e-01
   2.2780602194e-01,   2.2348109480e+00,   9.3240000000e-01
   1.2141912660e-01,   2.2932412270e+00,   9.3060000000e-01
   1.1736430483e-01,   2.1019575940e+00,   9.3040000000e-01
   1.8277745039e-01,   1.9599704110e+00,   9.3130000000e-01
   1.1986977619e-01,   1.9979409560e+00,   9.3760000000e-01
   1.2949689069e-01,   2.1900978800e+00,   9.3230000000e-01
   2.2269919292e-01,   1.9919721050e+00,   9.3510000000e-01
   3.5299179317e-02,   1.9910038740e+00,   9.3180000000e-01
   5.6787077124e-02,   2.0159080230e+00,   9.3250000000e-01
   2.1512214020e-01,   2.0033091440e+00,   9.2980000000e-01
   1.6981854018e-01,   1.9552026930e+00,   9.3560000000e-01
   1.2911907281e-01,   1.9573216180e+00,   9.2920000000e-01
   1.5224889038e-01,   1.9766513040e+00,   9.3290000000e-01
   1.3961363284e-01,   1.9829040760e+00,   9.2990000000e-01
   1.2614049711e-01,   2.0692139920e+00,   9.3240000000e-01
   2.7751566998e-01,   2.0246946910e+00,   9.3540000000e-01
   4.8999063181e-02,   1.9735459490e+00,   9.2850000000e-01
   2.4369167016e-01,   1.9980960110e+00,   9.3240000000e-01
   1.8777145835e-01,   1.9428108860e+00,   9.2850000000e-01
   1.3078557079e-01,   2.0426015300e+00,   9.3500000000e-01
   2.1065785445e-01,   1.9611139350e+00,   9.3560000000e-01
   2.0880824337e-01,   2.0517513550e+00,   9.3090000000e-01
   1.8499482652e-01,   1.9842951250e+00,   9.3250000000e-01
   2.0537223399e-01,   1.9575634600e+00,   9.3090000000e-01
   3.1018365768e-01,   1.9872121250e+00,   9.2990000000e-01
   1.6912272229e-01,   1.9586754070e+00,   9.3150000000e-01
   2.6099083083e-01,   1.9541312240e+00,   9.2880000000e-01
   1.7341109603e-01,   2.0090419270e+00,   9.3180000000e-01
   3.4988047007e-02,   2.0852400360e+00,   9.2990000000e-01
   2.0850112597e-01,   2.3724045650e+00,   9.3330000000e-01
   2.2520832444e-01,   1.9846780900e+00,   9.3290000000e-01
   2.2918112590e-01,   1.9611600710e+00,   9.3010000000e-01
   1.3185664815e-01,   1.9989997230e+00,   9.3460000000e-01
   1.3175445888e-01,   1.9584296120e+00,   9.2970000000e-01
   2.7248011675e-01,   1.9976711590e+00,   9.3470000000e-01
   1.4918630602e-01,   2.0034322230e+00,   9.3200000000e-01
   9.3192081090e-02,   1.9647023890e+00,   9.3400000000e-01
   2.3790426303e-01,   2.0052411260e+00,   9.3100000000e-01
   2.7162655933e-01,   1.9511972920e+00,   9.3460000000e-01
   1.8152729364e-01,   2.0004039560e+00,   9.2790000000e-01
   2.2108023367e-01,   1.9914297580e+00,   9.3060000000e-01
   1.4183480767e-01,   1.9468276740e+00,   9.3270000000e-01
   2.0501798229e-01,   1.9963346300e+00,   9.2650000000e-01
   1.6832939622e-01,   1.9847405940e+00,   9.3010000000e-01
   9.7427575885e-02,   2.0564197030e+00,   9.3260000000e-01
   1.4016270532e-01,   2.0534811980e+00,   9.2570000000e-01
   2.2136068764e-01,   2.0609280990e+00,   9.2860000000e-01
   7.8616152033e-02,   1.9937316530e+00,   9.3420000000e-01
   2.0013254543e-01,   1.9346888130e+00,   9.3450000000e-01
   2.4908624529e-01,   1.9826143710e+00,   9.3030000000e-01
   2.1220571236e-01,   1.9621221470e+00,   9.3030000000e-01
   2.7604919136e-01,   1.9456252860e+00,   9.3460000000e-01
   2.9194867831e-01,   2.3426776660e+00,   9.3440000000e-01
   1.7736152380e-01,   1.9652331610e+00,   9.3350000000e-01
   2.7325969764e-01,   1.9808082420e+00,   9.2930000000e-01
   1.5076961362e-01,   1.9690188970e+00,   9.3080000000e-01
   1.6085746465e-01,   1.9625497440e+00,   9.3210000000e-01
   7.7111328003e-02,   2.0081073510e+00,   9.3410000000e-01
   2.5346293599e-01,   1.9600504240e+00,   9.3290000000e-01
   2.1716190048e-01,   1.9957063980e+00,   9.3080000000e-01
   1.0569855154e-01,   1.9741424310e+00,   9.3650000000e-01
   6.3973944695e-02,   1.9486264350e+00,   9.3220000000e-01
   1.7914524739e-01,   2.0045786090e+00,   9.3360000000e-01
   2.7375545442e-01,   1.9601637480e+00,   9.2710000000e-01
   5.9908049352e-02,   2.0263513570e+00,   9.3510000000e-01
   1.2279557418e-01,   2.0592664310e+00,   9.3110000000e-01
   2.2647329512e-01,   1.9679683000e+00,   9.3340000000e-01
   2.4677107011e-01,   2.0094582650e+00,   9.3390000000e-01
   1.2854594814e-01,   1.9594554130e+00,   9.3510000000e-01
   2.0074279208e-01,   2.0062977490e+00,   9.3420000000e-01
   2.1311679152e-01,   1.9647345910e+00,   9.3030000000e-01
   2.3259810723e-01,   2.0723715180e+00,   9.3040000000e-01
   1.4244648138e-01,   1.9971872680e+00,   9.3470000000e-01
   1.7885439289e-01,   2.0006389330e+00,   9.3420000000e-01
   2.6071310283e-01,   2.1159206180e+00,   9.3620000000e-01
