# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   2.0202388689e+00,   5.1424480763e-02,   2.2676966456e-03,   0.0000000000e+00,   4.7666270020e+00,   9.7740000000e-01
   2.0112613928e+00,   4.5235041308e-02,   2.1268531051e-03,   0.0000000000e+00,   4.2331001250e+00,   9.7940000000e-01
   2.0145688872e+00,   4.5243515354e-02,   2.1270523114e-03,   0.0000000000e+00,   4.1419937550e+00,   9.7960000000e-01
   2.0098628322e+00,   4.1019354025e-02,   2.0253235303e-03,   0.0000000000e+00,   4.0902690920e+00,   9.7850000000e-01
   2.0037198045e+00,   4.2869662122e-02,   2.0704990249e-03,   0.0000000000e+00,   4.5578025110e+00,   9.7850000000e-01
   2.0048474016e+00,   3.7901245731e-02,   1.9468242276e-03,   0.0000000000e+00,   4.1349508430e+00,   9.7890000000e-01
   2.0050022065e+00,   3.4422686294e-02,   1.8553351798e-03,   0.0000000000e+00,   4.5895271680e+00,   9.7850000000e-01
   2.0140973027e+00,   3.4614937868e-02,   1.8605090128e-03,   0.0000000000e+00,   4.1078802570e+00,   9.8300000000e-01
   2.0101097761e+00,   2.8590790349e-02,   1.6908811416e-03,   0.0000000000e+00,   4.0962578200e+00,   9.8090000000e-01
   1.9947102942e+00,   2.6240567399e-02,   1.6198940521e-03,   0.0000000000e+00,   4.1264395880e+00,   9.7730000000e-01
   2.0088027157e+00,   2.5122411569e-02,   1.5850050968e-03,   0.0000000000e+00,   4.3310753880e+00,   9.7950000000e-01
   2.0080956606e+00,   2.3280158597e-02,   1.5257836871e-03,   0.0000000000e+00,   4.1903827890e+00,   9.7860000000e-01
   2.0098353755e+00,   2.3018593863e-02,   1.5171879865e-03,   0.0000000000e+00,   4.1267943300e+00,   9.8010000000e-01
   2.0097485888e+00,   2.3505443669e-02,   1.5331485143e-03,   0.0000000000e+00,   4.1903022690e+00,   9.7910000000e-01
   2.0091804065e+00,   2.2952514933e-02,   1.5150087436e-03,   0.0000000000e+00,   4.1158969480e+00,   9.7910000000e-01
   2.0043251299e+00,   2.3314021158e-02,   1.5268929615e-03,   0.0000000000e+00,   4.1216342560e+00,   9.7970000000e-01
