# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.5778391227e-02,   1.7390206250e+00,   9.3130000000e-01
   5.6032344791e-02,   1.7111588170e+00,   9.3390000000e-01
   3.3994140419e-02,   1.8352538010e+00,   9.3140000000e-01
   7.0202100266e-02,   1.8752785390e+00,   9.2920000000e-01
   1.1167484757e-02,   2.2178175020e+00,   9.3220000000e-01
   5.1738076195e-02,   2.1810371110e+00,   9.2940000000e-01
   1.0805484588e-01,   2.0415672160e+00,   9.3240000000e-01
   1.1636864800e-01,   2.0305317110e+00,   9.3190000000e-01
   8.4385707198e-02,   2.0902349500e+00,   9.3280000000e-01
   1.5465722427e-01,   2.2120711030e+00,   9.3380000000e-01
   1.1823862422e-01,   2.0403595270e+00,   9.3340000000e-01
   1.6355535459e-01,   1.9735288040e+00,   9.3260000000e-01
   7.7134200252e-02,   1.9435610930e+00,   9.3370000000e-01
   1.5323372004e-01,   1.9797021880e+00,   9.2820000000e-01
   1.4352709606e-01,   1.9796683200e+00,   9.3380000000e-01
   1.5785994479e-01,   1.9628907430e+00,   9.3330000000e-01
   1.7953902490e-01,   1.9749513930e+00,   9.3710000000e-01
   1.1231664060e-01,   1.9522030130e+00,   9.3440000000e-01
   1.6972379809e-01,   2.1030629130e+00,   9.3120000000e-01
   2.2148427042e-01,   1.9862605930e+00,   9.3390000000e-01
   1.7311532998e-01,   1.9707342170e+00,   9.3390000000e-01
   2.2688241073e-01,   1.9899364620e+00,   9.3530000000e-01
   2.7217840218e-01,   1.9773222180e+00,   9.3160000000e-01
   1.1859228156e-01,   2.1350467340e+00,   9.2840000000e-01
   3.3100389716e-01,   2.1561483130e+00,   9.3260000000e-01
   2.8582646477e-01,   2.1719498880e+00,   9.3320000000e-01
   2.6430561450e-01,   2.1903738170e+00,   9.3110000000e-01
   2.3581683188e-01,   2.0611983680e+00,   9.3170000000e-01
   3.3330935889e-01,   2.0685352270e+00,   9.3270000000e-01
   2.9302726123e-01,   2.0260685560e+00,   9.3030000000e-01
   3.6196179782e-01,   2.0680831320e+00,   9.3350000000e-01
   3.2704475124e-01,   2.1505213290e+00,   9.2960000000e-01
   2.3576887332e-01,   2.0372917040e+00,   9.3470000000e-01
   3.1237504746e-01,   2.1018104560e+00,   9.3200000000e-01
   1.4340270607e-01,   2.1648732960e+00,   9.3180000000e-01
   1.0764357129e-01,   2.1534589860e+00,   9.3100000000e-01
   2.7029668923e-01,   2.4544519370e+00,   9.2770000000e-01
   2.8625795630e-01,   2.2845078660e+00,   9.2720000000e-01
   2.7735133834e-01,   2.1108950100e+00,   9.3450000000e-01
   3.0299470690e-02,   1.9888172530e+00,   9.3200000000e-01
   3.2992691037e-01,   2.0235110420e+00,   9.3090000000e-01
   3.3153182930e-01,   1.9771515850e+00,   9.2940000000e-01
   2.3105160359e-01,   1.9316189570e+00,   9.3540000000e-01
   1.0748331956e-01,   2.0711592430e+00,   9.3420000000e-01
   1.2311575422e-01,   2.1088008190e+00,   9.3640000000e-01
   3.1490932037e-01,   2.1325790320e+00,   9.3190000000e-01
   2.3773677365e-01,   2.1535325820e+00,   9.3280000000e-01
   2.8234565159e-01,   2.2587172310e+00,   9.3230000000e-01
   2.6799409608e-01,   2.1696350610e+00,   9.2740000000e-01
   2.0185227917e-01,   2.1450083530e+00,   9.3050000000e-01
   2.7015181745e-01,   2.1611693830e+00,   9.2960000000e-01
   2.1727888885e-01,   2.0145082710e+00,   9.3500000000e-01
   1.9281033047e-01,   1.9439838480e+00,   9.3190000000e-01
   3.0057117353e-01,   2.0663912050e+00,   9.2940000000e-01
   1.5969481135e-01,   1.9389902510e+00,   9.3560000000e-01
   2.2301631668e-01,   1.9821404060e+00,   9.3150000000e-01
   1.2377211739e-01,   2.1947743200e+00,   9.3390000000e-01
   2.4205331880e-01,   2.2690193950e+00,   9.3000000000e-01
   3.6399199912e-01,   2.2129447350e+00,   9.3370000000e-01
   2.3616107858e-01,   2.3200927170e+00,   9.3490000000e-01
   2.8848782617e-01,   2.6713559380e+00,   9.3050000000e-01
   2.2936901437e-01,   2.2023524250e+00,   9.3080000000e-01
   3.1988956168e-01,   2.0555744550e+00,   9.2700000000e-01
   2.0812811159e-01,   2.1042819620e+00,   9.3340000000e-01
   3.0710158806e-01,   2.0468910410e+00,   9.3180000000e-01
   3.7122051146e-01,   2.0932129520e+00,   9.3080000000e-01
   2.5281780063e-01,   2.1738140420e+00,   9.2870000000e-01
   2.6378734577e-01,   2.0554588000e+00,   9.3220000000e-01
   3.1744288598e-01,   2.0006663030e+00,   9.3200000000e-01
   2.2515474264e-01,   1.9351445470e+00,   9.3220000000e-01
   1.7974443699e-01,   2.1512793930e+00,   9.2920000000e-01
   2.9904925179e-01,   2.0887330430e+00,   9.3520000000e-01
   3.5578485707e-01,   2.1797927710e+00,   9.3300000000e-01
   2.0401828029e-02,   2.2067449650e+00,   9.3330000000e-01
   2.4795499447e-01,   2.0005488700e+00,   9.3270000000e-01
   1.6159395641e-01,   2.1368252890e+00,   9.3440000000e-01
   2.3601134720e-01,   2.2979171630e+00,   9.2880000000e-01
   7.8977499418e-02,   2.5210987700e+00,   9.3090000000e-01
   2.7820178657e-01,   2.3853072940e+00,   9.3240000000e-01
   1.5362387904e-01,   2.1258902520e+00,   9.3240000000e-01
   3.1957634100e-01,   2.3056115770e+00,   9.3180000000e-01
   3.1793473851e-01,   2.4527376960e+00,   9.3440000000e-01
   2.0224133279e-01,   2.1490914230e+00,   9.3110000000e-01
   2.8754700178e-01,   2.1223173200e+00,   9.2800000000e-01
   2.2138054828e-01,   2.4077367750e+00,   9.3460000000e-01
   2.5824370934e-01,   2.3609657790e+00,   9.3660000000e-01
   2.6149125138e-01,   2.2437134970e+00,   9.3100000000e-01
   3.2596502869e-01,   2.1712934000e+00,   9.3520000000e-01
   1.2176677659e-01,   2.1401612370e+00,   9.3070000000e-01
   2.9309272114e-01,   2.1854472260e+00,   9.3370000000e-01
   1.9335823273e-01,   2.1344756650e+00,   9.3400000000e-01
   2.7447461305e-01,   2.1893399340e+00,   9.3090000000e-01
   1.6227488395e-01,   2.2694776610e+00,   9.3170000000e-01
   3.6217168679e-01,   2.2195990150e+00,   9.3380000000e-01
