# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   8.1074054082e-01,   1.6493516300e-01,   9.8100000000e-01
   8.7437550740e-01,   1.6126404600e-01,   9.7933333333e-01
   9.0621186649e-01,   1.8805910500e-01,   9.8233333333e-01
   8.9732947061e-01,   1.6630488500e-01,   9.7666666667e-01
   9.3234747141e-01,   1.5837717300e-01,   9.8066666667e-01
   9.4213192701e-01,   1.5535548600e-01,   9.8000000000e-01
   9.6133990540e-01,   1.5737567100e-01,   9.7733333333e-01
   9.6184487313e-01,   1.5776590600e-01,   9.7500000000e-01
   9.6898400780e-01,   1.5427678700e-01,   9.8133333333e-01
   9.7535323101e-01,   1.5615429600e-01,   9.7633333333e-01
   9.7211189204e-01,   1.5258227100e-01,   9.7633333333e-01
   9.6179938220e-01,   1.5262716100e-01,   9.8266666667e-01
   9.7036225336e-01,   1.4854670500e-01,   9.8233333333e-01
   9.6474600757e-01,   1.4765618400e-01,   9.7766666667e-01
   9.6266123357e-01,   1.5460091700e-01,   9.8133333333e-01
   9.7312979120e-01,   1.6171160500e-01,   9.8466666667e-01
   9.7210890478e-01,   1.4972151400e-01,   9.8066666667e-01
   9.7772269689e-01,   1.5412768200e-01,   9.7933333333e-01
   9.7392804256e-01,   1.6629992100e-01,   9.7433333333e-01
   9.7693894438e-01,   1.5570972300e-01,   9.8033333333e-01
   9.6947560907e-01,   1.7447883000e-01,   9.8166666667e-01
   9.7024133773e-01,   1.8693211500e-01,   9.7666666667e-01
   9.7704691768e-01,   2.0147531400e-01,   9.7566666667e-01
   9.7603420032e-01,   2.1146069900e-01,   9.8000000000e-01
   9.7779609027e-01,   2.3409392800e-01,   9.7766666667e-01
   9.7938979745e-01,   2.2027646300e-01,   9.7700000000e-01
   9.7582162987e-01,   2.2442665800e-01,   9.7833333333e-01
   9.7865325543e-01,   1.9394173900e-01,   9.7733333333e-01
   9.7839426550e-01,   1.9297450900e-01,   9.7766666667e-01
   9.7790455516e-01,   2.1264823500e-01,   9.8133333333e-01
   9.8188091467e-01,   2.2694420600e-01,   9.7833333333e-01
   9.7589039143e-01,   2.4130657400e-01,   9.7866666667e-01
   9.7963902324e-01,   2.0242712800e-01,   9.7933333333e-01
   9.8027592650e-01,   2.1284325700e-01,   9.8066666667e-01
   9.8202225596e-01,   1.8997741600e-01,   9.8066666667e-01
   9.7898070366e-01,   1.9492248500e-01,   9.8233333333e-01
   9.7709377598e-01,   1.9811581200e-01,   9.7666666667e-01
   9.8303310270e-01,   1.9129607100e-01,   9.8066666667e-01
   9.7970024245e-01,   1.8634441100e-01,   9.7633333333e-01
   9.8126013627e-01,   1.8824941800e-01,   9.8166666667e-01
   9.7736787327e-01,   1.8772328600e-01,   9.7800000000e-01
   9.7848323227e-01,   1.8526793700e-01,   9.7900000000e-01
   9.8080852688e-01,   2.0046585500e-01,   9.8066666667e-01
   9.7748670681e-01,   1.8178182300e-01,   9.7900000000e-01
   9.8645329561e-01,   1.9795557800e-01,   9.8000000000e-01
   9.7964977257e-01,   1.8863588800e-01,   9.7800000000e-01
   9.8308234819e-01,   1.9929489800e-01,   9.8033333333e-01
   9.8270087438e-01,   1.9108696700e-01,   9.8100000000e-01
   9.7973845110e-01,   1.8910805800e-01,   9.7600000000e-01
   9.8989598485e-01,   1.9073090800e-01,   9.7933333333e-01
   9.8279166672e-01,   1.8941091900e-01,   9.7933333333e-01
   9.8374137972e-01,   1.8841706700e-01,   9.8033333333e-01
   9.8357772576e-01,   1.8764568400e-01,   9.8033333333e-01
   9.8722348526e-01,   1.8891447300e-01,   9.8233333333e-01
   9.8720146842e-01,   1.8604246600e-01,   9.8100000000e-01
   9.8569812298e-01,   2.0260235100e-01,   9.8133333333e-01
   9.8356061356e-01,   2.0297813900e-01,   9.7933333333e-01
   9.7890338435e-01,   2.0275627800e-01,   9.7833333333e-01
   9.8579183768e-01,   1.9125590100e-01,   9.7800000000e-01
   9.8580867852e-01,   1.9028857000e-01,   9.7866666667e-01
   9.8679140941e-01,   2.1291530100e-01,   9.7900000000e-01
   9.8495754891e-01,   2.0743915500e-01,   9.7566666667e-01
   9.8340354879e-01,   2.1975513600e-01,   9.7966666667e-01
   9.8645880091e-01,   1.8317506400e-01,   9.7700000000e-01
   9.8612215174e-01,   1.8868968300e-01,   9.8066666667e-01
   9.7252785662e-01,   1.9782897500e-01,   9.7533333333e-01
   9.8774911617e-01,   1.8419628500e-01,   9.7900000000e-01
   9.8979154086e-01,   1.7760014300e-01,   9.8133333333e-01
   9.8529292182e-01,   1.7504428200e-01,   9.8066666667e-01
   9.8573125751e-01,   1.6809275800e-01,   9.7433333333e-01
   9.8322387550e-01,   1.6794922400e-01,   9.7566666667e-01
