# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   6.4959705684e-02,   1.0112491040e+00,   9.2940000000e-01
   6.3495333431e-02,   1.1786308720e+00,   9.3190000000e-01
   1.0897620961e-01,   1.1315914960e+00,   9.3260000000e-01
   4.9058000380e-02,   1.1394066550e+00,   9.3830000000e-01
   1.4480311386e-01,   1.0874364600e+00,   9.3030000000e-01
   1.2782436578e-01,   1.1003406870e+00,   9.2950000000e-01
   2.0844073032e-01,   1.0868846760e+00,   9.3350000000e-01
   2.2391270651e-01,   1.0917573080e+00,   9.3420000000e-01
   2.3186864661e-01,   1.0895025920e+00,   9.3260000000e-01
   2.8831520682e-01,   1.0550625980e+00,   9.3590000000e-01
   2.4906668522e-01,   1.0314856430e+00,   9.2570000000e-01
   1.5774948829e-01,   1.0069610290e+00,   9.2750000000e-01
   3.1916574152e-01,   1.0139296290e+00,   9.3610000000e-01
   3.2170858757e-01,   1.0131788290e+00,   9.2770000000e-01
   4.2322058495e-01,   1.0706172460e+00,   9.2900000000e-01
   4.1061484329e-01,   1.0110412910e+00,   9.3280000000e-01
   4.4716995323e-01,   1.0383456670e+00,   9.3300000000e-01
   4.3290193377e-01,   9.8904765800e-01,   9.3430000000e-01
   5.5720969639e-01,   1.0008592220e+00,   9.3060000000e-01
   5.9333859321e-01,   1.0003012560e+00,   9.3010000000e-01
   5.1893492869e-01,   1.0096010270e+00,   9.3450000000e-01
   4.8432974593e-01,   1.1107991940e+00,   9.2640000000e-01
   5.2359697644e-01,   1.0947615690e+00,   9.3480000000e-01
   6.3274291482e-01,   1.0214550990e+00,   9.3610000000e-01
   6.3087625134e-01,   1.0698355150e+00,   9.3130000000e-01
   5.6409356817e-01,   1.0118581030e+00,   9.3190000000e-01
   6.5391736221e-01,   1.0174057020e+00,   9.2770000000e-01
   6.2518510273e-01,   9.8951215500e-01,   9.3230000000e-01
   6.1310956791e-01,   1.0346875000e+00,   9.2990000000e-01
   6.8399538711e-01,   1.1590157850e+00,   9.2920000000e-01
   6.6107280604e-01,   1.0867121170e+00,   9.2770000000e-01
   7.1513284214e-01,   1.2364720640e+00,   9.2960000000e-01
   5.9874954998e-01,   1.2927321720e+00,   9.3330000000e-01
   1.5290395053e-01,   1.1787758870e+00,   9.3200000000e-01
   6.4782102181e-01,   1.0639536500e+00,   9.3500000000e-01
   7.3489004475e-01,   1.0392509110e+00,   9.3160000000e-01
   6.7505482697e-01,   1.0162471490e+00,   9.3270000000e-01
   6.4030656278e-01,   1.0315992660e+00,   9.3220000000e-01
   7.2611565895e-01,   1.0163106760e+00,   9.3410000000e-01
   5.6615502083e-01,   1.0180284220e+00,   9.3000000000e-01
   7.6182624049e-01,   1.0165859240e+00,   9.3140000000e-01
   7.2540199001e-01,   1.0193483780e+00,   9.3600000000e-01
   7.2942504343e-01,   1.0125709060e+00,   9.2830000000e-01
   7.2743488112e-01,   1.0275312380e+00,   9.2900000000e-01
   7.4150566404e-01,   1.0044873280e+00,   9.3050000000e-01
   7.3285356502e-01,   1.0233124440e+00,   9.3130000000e-01
   6.9759139731e-01,   1.0203133000e+00,   9.3370000000e-01
   7.4201685355e-01,   1.1015615490e+00,   9.3270000000e-01
   8.2724604599e-01,   1.1306234300e+00,   9.3030000000e-01
   7.9414246641e-01,   1.1800096040e+00,   9.2980000000e-01
   8.1862038171e-01,   1.0254807880e+00,   9.3060000000e-01
   8.4884570264e-01,   1.0620044040e+00,   9.3500000000e-01
   7.7564723073e-01,   1.0614937150e+00,   9.3350000000e-01
   7.9412837276e-01,   1.0848587230e+00,   9.3430000000e-01
   8.0908821519e-01,   1.0380509090e+00,   9.2920000000e-01
   8.6079113179e-01,   1.0070486210e+00,   9.3630000000e-01
   8.6189862280e-01,   9.9902262200e-01,   9.3210000000e-01
   8.6527038377e-01,   1.0354844960e+00,   9.3500000000e-01
   8.6660988937e-01,   1.0018866330e+00,   9.2830000000e-01
   8.9142761039e-01,   1.0257905310e+00,   9.3250000000e-01
   8.7365477210e-01,   1.0269190680e+00,   9.2980000000e-01
   8.6011604796e-01,   1.0017563470e+00,   9.3630000000e-01
   8.6941747420e-01,   1.0050757980e+00,   9.3250000000e-01
   9.0671699119e-01,   1.0090198560e+00,   9.3250000000e-01
   9.1452393747e-01,   9.8525604000e-01,   9.3170000000e-01
   9.1298280103e-01,   1.0030265190e+00,   9.3330000000e-01
   9.3465698939e-01,   9.9263869300e-01,   9.3240000000e-01
   9.3044526675e-01,   1.0299412980e+00,   9.2900000000e-01
   9.3374025404e-01,   9.9509965500e-01,   9.3360000000e-01
   9.2079328950e-01,   1.0046163400e+00,   9.3270000000e-01
   9.3525798310e-01,   1.0013476340e+00,   9.3470000000e-01
   9.2941654132e-01,   1.0346389250e+00,   9.3130000000e-01
   9.3215837038e-01,   1.1180264990e+00,   9.3230000000e-01
   9.4646476449e-01,   1.2667868830e+00,   9.3300000000e-01
   9.4377856514e-01,   1.0972401680e+00,   9.3380000000e-01
   9.3204879370e-01,   1.1839327230e+00,   9.3240000000e-01
   9.3510050221e-01,   1.1514584600e+00,   9.3010000000e-01
   9.4365297759e-01,   1.0768014010e+00,   9.3360000000e-01
   9.4217857869e-01,   1.0607669120e+00,   9.3080000000e-01
   9.4334196187e-01,   1.0547310620e+00,   9.3400000000e-01
   9.4599653228e-01,   1.0255809530e+00,   9.2820000000e-01
   9.4075100690e-01,   1.0244673020e+00,   9.3840000000e-01
   9.4961704569e-01,   1.0912946480e+00,   9.3910000000e-01
   9.4592390560e-01,   1.0543551980e+00,   9.3510000000e-01
   9.5841772492e-01,   1.0221029660e+00,   9.3160000000e-01
   9.5242030966e-01,   1.0087061770e+00,   9.3810000000e-01
