# iter energy acceptance cpu_seconds
0 65.7541994313 0.99653 6.191741413
1 65.8306986445 0.99692 4.922778288
2 65.8877738756 0.99684 4.843387664
3 66.0169325291 0.99649 4.817633591
4 65.8026522942 0.9969 5.053728924
5 66.0851353434 0.99715 5.001467428
6 66.4557704943 0.99658 6.203850926
7 65.1425739205 0.99667 4.799728296
8 65.8030943666 0.99702 4.891380591
9 66.8516023695 0.99682 4.842316943
10 65.6157410176 0.99687 5.589897476
11 65.792781208 0.99674 5.22328674
12 66.2378603065 0.99658 6.637413511
13 65.1308019925 0.99684 5.132421104
14 65.6489776788 0.99674 5.180363396
15 65.1934190335 0.99692 5.719174224
16 65.1186138551 0.99653 5.126352285
17 66.0788689721 0.99688 5.106144735
18 65.0538295599 0.9967 6.932365142
19 64.8526621214 0.99678 5.248828606
20 64.3419651024 0.99679 5.267804336
21 65.2244213513 0.99639 5.277595188
22 64.8288997762 0.99704 5.119622802
23 63.9970264448 0.99692 5.377126828
24 64.0273717029 0.99663 6.795975641
25 64.3533236044 0.99698 5.102551544
26 63.1958256872 0.99678 5.277100457
27 63.0973839082 0.99687 5.69140909
28 62.7768995013 0.99679 5.142759187
29 62.2600548326 0.99629 5.516614096
30 62.4735005638 0.99691 7.185509963
31 60.8480306726 0.99685 5.71376709
32 60.7454778974 0.99666 5.68407216
33 60.1484406396 0.99648 5.396416054
34 59.8731187773 0.99659 5.75958696
35 59.7745288524 0.9968 7.425882751
36 59.1002458756 0.99648 5.518936839
37 59.2544539113 0.99652 6.551722795
38 58.7228055924 0.99693 6.395173004
39 58.9225929283 0.9963 5.374002627
40 58.968869109 0.99694 6.005957643
41 58.5364399415 0.99645 8.042170259
42 58.8538268571 0.9967 6.455776087
43 58.7982558474 0.99682 7.05395726
44 59.2074480623 0.99662 6.856700797
45 59.2296628596 0.99667 7.145560985
46 59.3064809931 0.99681 6.662841942
47 58.877142747 0.99643 6.452056067
48 59.0026720231 0.99639 6.615483941
49 59.189675316 0.99667 5.442931804
50 58.9783707337 0.99687 6.598275517
51 59.0152696786 0.99661 5.621814369
52 58.8045596325 0.99691 5.222377608
53 58.4727904899 0.99637 5.006460491
54 58.7647083491 0.99663 5.231651408
55 58.6476501637 0.9965 6.966226067
56 58.384432571 0.99651 7.288275497
57 58.6703996104 0.99667 5.554487492
58 58.5160291509 0.9969 5.996740253
59 58.9321158947 0.99687 5.319609067
60 58.7035367141 0.99647 5.168657953
61 58.7257951023 0.99628 6.158053293
62 58.8138388463 0.99655 7.521206385
63 58.5402508228 0.99669 6.269684963
64 58.5333554578 0.9968 5.800559709
65 58.635930113 0.99693 5.809790688
66 58.3929022037 0.99647 5.892013242
67 58.5444132246 0.99643 7.94336664
68 58.7400433035 0.99651 5.897066975
69 58.5965655262 0.99621 5.587995854
70 58.6078000116 0.99646 5.764017117
71 58.6796452163 0.99681 5.835744175
72 58.5865281483 0.99665 10.080355974
73 58.2638587386 0.99678 5.680907773
74 58.5193527433 0.99703 5.545193542
75 58.551586705 0.99658 5.678215542
76 58.4116300346 0.99676 5.725233737
77 58.8914257909 0.99692 7.716178272
78 58.3531232358 0.99672 6.554440814
79 58.7099380625 0.99692 5.752023977
80 58.6466225721 0.99698 5.577417644
81 58.4811522841 0.99695 6.61630763
82 58.2594663307 0.99672 6.890931715
83 58.4929172013 0.99665 5.212716962
84 58.3998050827 0.99675 4.983500618
85 58.5430743588 0.99656 5.263808522
86 58.5599191974 0.99655 8.813014498
87 58.5248162139 0.9967 8.320391134
88 58.4544853296 0.99671 5.625005505
89 58.4775268786 0.99675 5.750953657
90 58.5578010354 0.99661 5.747977755
91 58.4632454039 0.9967 5.733223314
92 58.4661485076 0.9965 5.177523257
93 58.4563149744 0.99627 7.123078035
94 58.4140537321 0.99688 5.903546894
95 58.5908165927 0.99687 4.847299049
96 58.6920303413 0.99659 4.924599609
97 58.4198020115 0.99684 4.94575635
98 58.5249147559 0.99683 4.997558339
99 58.5839765852 0.99663 6.613327653
