# iter energy acceptance cpu_seconds
0 65.4716335723 0.99653 3.203761978
1 65.8001210401 0.99668 3.049301737
2 65.5918030387 0.99671 3.059377054
3 65.274486819 0.99693 3.172110677
4 66.1541065837 0.99685 3.332039439
5 65.1257664221 0.99685 3.063787945
6 64.2562715289 0.9963 4.705499362
7 63.7962442821 0.99638 3.180290278
8 63.3837108316 0.99677 3.193036172
9 61.9388193245 0.99675 3.096465226
10 61.5670031152 0.99679 3.027188449
11 60.5088486563 0.99687 3.057560294
12 60.1433535951 0.99655 3.042981028
13 60.1056773972 0.99658 3.095782921
14 59.8621514842 0.99664 3.415144148
15 59.3316978544 0.99646 3.307435774
16 59.7021920757 0.99654 4.351132168
17 59.7029633269 0.99679 3.046461186
18 59.3804924569 0.99677 3.05508076
19 59.574700988 0.9965 3.012293285
20 59.5387354375 0.9968 3.02970553
21 59.3135908371 0.99655 3.131326403
22 58.8896274586 0.9966 3.037147863
23 58.8148230723 0.99679 3.097000634
24 58.9356718571 0.99652 3.030218113
25 58.7519871945 0.99719 3.059600821
26 58.6579595362 0.99641 4.575812114
27 58.6522633607 0.99669 3.073244495
28 58.5832332048 0.99654 3.077248902
29 58.8869527187 0.99669 3.044471041
30 58.6607951579 0.99618 3.115134007
31 58.7593698504 0.99688 3.076981915
32 58.6472432941 0.99658 3.030380301
33 58.6075117866 0.99652 3.107567619
34 58.8917397737 0.99675 3.069587467
35 59.1657586231 0.99635 3.126990707
36 58.9122890704 0.99702 4.541008454
37 58.4397305775 0.99635 3.069328517
38 58.551906135 0.99656 3.305763352
39 58.7798972085 0.99653 3.307291852
40 58.4352972706 0.99695 3.259537551
41 58.5068896514 0.99667 3.28149252
42 58.6419746209 0.9968 3.578395483
43 58.5071379118 0.997 3.409718719
44 58.6657161952 0.99685 3.416732379
45 58.523862474 0.9964 3.190270615
46 58.6752810372 0.99677 4.812500407
47 58.4149651568 0.99629 3.562976859
48 58.4647268894 0.99633 4.0373681
49 58.5768201523 0.99696 3.307584164
50 58.3838146975 0.99664 3.41661782
51 58.3192511331 0.99675 3.459734976
52 58.3236846356 0.99667 3.555494512
53 58.319987144 0.99661 3.791270896
54 58.6073826879 0.99637 5.029654676
55 58.4265726777 0.99664 3.478984161
56 58.4354897662 0.99664 3.342667783
57 58.52638381 0.99688 3.324813045
58 58.5380442751 0.997 3.324359413
59 58.4132744079 0.99669 3.734402514
60 58.4863046505 0.99655 3.799769199
61 58.2729918803 0.99671 3.282238369
62 58.3549235746 0.99684 3.252369859
63 58.5053339055 0.9968 4.696259705
64 58.343475078 0.99672 3.198214928
65 58.5690200112 0.99668 3.883046769
66 58.6676576132 0.99664 3.74211387
67 58.5297853208 0.99679 3.149085672
68 58.3870130383 0.99659 3.528188189
69 58.4780185409 0.99666 3.647283654
70 58.4352095771 0.99673 3.305453373
71 58.5700058454 0.99682 3.255703793
72 58.5071118979 0.99679 3.203565265
73 58.6119370241 0.99662 4.737321969
74 58.734932165 0.99669 3.247233858
75 58.3768762525 0.99663 3.179198468
76 58.2594204026 0.99675 3.463375247
77 58.5609221189 0.99672 3.501080726
78 58.4542631281 0.99659 3.121813139
79 58.4733320094 0.99674 3.079640696
80 58.5642725257 0.99696 3.746999313
81 58.6022099037 0.99647 3.123060818
82 58.4603688023 0.9965 4.555258183
83 58.3815823051 0.99687 3.195547516
84 58.3776636665 0.99675 3.183265847
85 58.5082885628 0.99679 3.106387678
86 58.4127847977 0.99647 3.099221358
87 58.6218816018 0.99677 3.095109051
88 58.3825439389 0.99664 3.127995649
89 58.5838848375 0.9964 3.41744193
90 58.2407040696 0.99652 3.179100973
91 58.437941428 0.99671 3.156039703
92 58.3904082586 0.99675 4.506492346
93 58.3694919816 0.99668 3.232556889
94 58.3656562875 0.99692 3.210459723
95 58.1493513947 0.99656 3.184760953
96 58.647638348 0.99697 3.167569467
97 58.4532223058 0.9967 3.084187547
98 58.4885991815 0.99641 3.05093185
99 58.5258037553 0.99672 4.820776161
