# iter energy acceptance cpu_seconds
0 1249.00738994 0.99629 45.925436757
1 1257.60150179 0.99635 44.898288608
2 1243.07614286 0.99655 43.963393625
3 1244.79282819 0.99684 44.196867136
4 1204.0828606 0.9968 45.178719764
5 1230.94866693 0.99693 43.991069945
6 1181.7983306 0.99694 44.20656316
7 1185.1670629 0.99701 44.342239787
8 1186.76572279 0.99672 46.950400644
9 1113.87598592 0.99671 43.884906358
10 1114.66442233 0.99708 45.296360589
11 1087.34411417 0.99634 45.464868365
12 1067.50818924 0.99674 44.048605886
13 1019.68923096 0.99671 45.231251084
14 1010.92378302 0.9967 45.097672932
15 1005.576216 0.99686 43.51004979
16 993.714519327 0.99663 44.161013303
17 962.966481511 0.99703 44.660699892
18 965.425131629 0.997 43.896993948
19 947.993123357 0.99702 44.993057989
20 941.247675314 0.99668 44.772943171
21 932.428761877 0.99664 45.417421308
22 918.020888152 0.99661 45.085305109
23 913.38880505 0.99653 44.701142717
24 907.558670105 0.99653 44.655992091
25 897.511561771 0.99676 43.813498782
26 891.59954691 0.99652 43.970246447
27 891.082831557 0.99656 44.813829519
28 881.657186454 0.99662 43.918266353
29 870.088547574 0.99637 45.566999906
30 858.118384537 0.99639 44.006600879
31 855.506712383 0.99685 44.020935281
32 850.764644972 0.9967 45.106155499
33 841.728069778 0.99692 43.978269062
34 841.501908419 0.99653 45.655740563
35 832.385316582 0.99686 44.846988209
36 828.601247811 0.99669 44.173002219
37 823.277137595 0.99682 45.031924203
38 824.032732762 0.99649 44.149422053
39 810.949628617 0.99692 43.745428817
40 810.396468622 0.99641 45.058021788
41 804.869369464 0.99668 43.73682454
42 800.176827082 0.99664 44.158217485
43 792.837243612 0.99675 45.223004342
44 792.895889628 0.99697 43.461995773
45 783.889750923 0.9967 43.875555243
46 783.880307911 0.99666 43.96821043
47 782.748408857 0.99655 45.023465053
48 780.319078159 0.99687 45.143785731
49 776.369008387 0.99656 44.317756516
50 771.798290929 0.99687 43.786479748
51 769.927812532 0.99677 45.035998224
52 767.85574647 0.99672 43.833254263
53 767.143928143 0.99638 44.727438479
54 763.642657402 0.99668 45.640889348
55 761.669988783 0.99692 43.756700799
56 759.148500288 0.99638 45.057648744
57 756.583798017 0.99664 42.283498634
58 757.689554339 0.99642 46.255645624
59 755.840293706 0.99647 43.376511568
60 755.276910437 0.99652 47.183987932
61 752.967215574 0.99636 43.60841434
62 752.871603627 0.99687 43.839853479
63 752.382361813 0.99656 45.453757133
64 753.30453275 0.9964 44.719497558
65 751.899122694 0.99685 43.874984467
66 750.063107239 0.99653 45.633887435
67 751.386942631 0.99633 44.265158169
68 749.670936261 0.99663 44.40601215
69 749.743859143 0.9965 58.468657507
70 749.733342756 0.99667 44.96273447
71 750.289659135 0.99697 45.082226475
72 749.180888224 0.99654 46.082190461
73 748.636201048 0.99646 45.393276355
74 747.828995978 0.99675 45.261230413
75 747.054619451 0.99645 43.491036065
76 746.068771982 0.99697 45.164646796
77 746.203240768 0.9968 44.687392583
78 744.691245169 0.99652 43.57929463
79 744.913464563 0.99688 44.33693922
80 747.228070343 0.9967 45.46416741
81 745.788763214 0.99676 43.744691833
82 744.795368831 0.99652 43.948564488
83 745.740535583 0.99654 43.687538216
84 745.527456948 0.99659 44.005961736
85 744.455629075 0.99688 45.347842536
86 744.677405134 0.99661 45.533135923
87 746.390455682 0.99685 43.723964885
88 743.929984222 0.99658 45.417771389
89 747.014363098 0.99681 44.813245915
90 745.142339499 0.99669 43.931650089
91 745.481411903 0.99661 43.699748463
92 743.849260544 0.99655 43.776724381
93 745.999824626 0.99666 45.328671808
94 742.481798142 0.9966 43.785832448
95 743.458587158 0.99645 43.894148525
96 744.799722296 0.99667 45.051630655
97 744.416786014 0.99682 45.434751102
98 744.915634332 0.99652 44.78944574
99 744.784408483 0.99708 47.985976293
