# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 4.954219613e-01, 8.304457375e-03, 1.016857143e-02, 1.704495856e-04
1.050000000e-01, 5.042314957e-01, 3.166573681e-03, 7.244571429e-02, 4.549590697e-04
1.750000000e-01, 4.809522201e-01, 1.877144907e-03, 1.875600000e-01, 7.320421534e-04
2.450000000e-01, 4.613060440e-01, 1.317399043e-03, 3.503285714e-01, 1.000469278e-03
3.150000000e-01, 4.334882259e-01, 9.945975123e-04, 5.427400000e-01, 1.245265319e-03
3.850000000e-01, 4.035681485e-01, 7.857083674e-04, 7.537771429e-01, 1.467531594e-03
4.550000000e-01, 3.738301570e-01, 6.401163781e-04, 9.744571429e-01, 1.668581213e-03
5.250000000e-01, 3.409812356e-01, 5.299629647e-04, 1.182774286e+00, 1.838302234e-03
5.950000000e-01, 3.068865081e-01, 4.436930889e-04, 1.366854286e+00, 1.976182674e-03
6.650000000e-01, 2.719874473e-01, 3.737777266e-04, 1.512874286e+00, 2.079061798e-03
7.350000000e-01, 2.391676855e-01, 3.171472038e-04, 1.624857143e+00, 2.154634303e-03
8.050000000e-01, 2.081274840e-01, 2.701426133e-04, 1.695917143e+00, 2.201244546e-03
8.750000000e-01, 1.778459804e-01, 2.297519673e-04, 1.711991429e+00, 2.211651890e-03
9.450000000e-01, 1.513170153e-01, 1.962338178e-04, 1.698868571e+00, 2.203159142e-03
1.015000000e+00, 1.286406064e-01, 1.684604641e-04, 1.666065714e+00, 2.181785451e-03
1.085000000e+00, 1.075435454e-01, 1.440947559e-04, 1.591491429e+00, 2.132397329e-03
1.155000000e+00, 8.943364989e-02, 1.234420378e-04, 1.499711429e+00, 2.069997535e-03
1.225000000e+00, 7.377236572e-02, 1.057091870e-04, 1.391534286e+00, 1.993943892e-03
1.295000000e+00, 6.013185237e-02, 9.027982377e-05, 1.267534286e+00, 1.903030880e-03
1.365000000e+00, 4.884546346e-02, 7.719566776e-05, 1.143917143e+00, 1.807853615e-03
1.435000000e+00, 3.946144598e-02, 6.600131484e-05, 1.021345714e+00, 1.708253673e-03
1.505000000e+00, 3.133452955e-02, 5.607857792e-05, 8.920400000e-01, 1.596460370e-03
1.575000000e+00, 2.502979583e-02, 4.789314974e-05, 7.803685714e-01, 1.493192717e-03
1.645000000e+00, 1.960588868e-02, 4.058407438e-05, 6.667971429e-01, 1.380266168e-03
1.715000000e+00, 1.537759475e-02, 3.447553247e-05, 5.684428571e-01, 1.274410628e-03
1.785000000e+00, 1.179083618e-02, 2.900462809e-05, 4.721571429e-01, 1.161473378e-03
1.855000000e+00, 9.148852996e-03, 2.458525346e-05, 3.956542857e-01, 1.063221904e-03
1.925000000e+00, 7.056386458e-03, 2.080642974e-05, 3.286257143e-01, 9.689843199e-04
1.995000000e+00, 5.312488883e-03, 1.741986904e-05, 2.657285714e-01, 8.713348896e-04
2.065000000e+00, 3.942988885e-03, 1.449883053e-05, 2.113085714e-01, 7.770062905e-04
2.135000000e+00, 2.933678040e-03, 1.209622732e-05, 1.680571429e-01, 6.929381396e-04
2.205000000e+00, 2.195725387e-03, 1.013265434e-05, 1.341657143e-01, 6.191369899e-04
2.275000000e+00, 1.603091809e-03, 8.391540813e-06, 1.042714286e-01, 5.458189877e-04
2.345000000e+00, 1.160669161e-03, 6.927177208e-06, 8.021142857e-02, 4.787227906e-04
2.415000000e+00, 8.451557014e-04, 5.739804109e-06, 6.194571429e-02, 4.206991266e-04
2.485000000e+00, 5.983391258e-04, 4.693469454e-06, 4.643428571e-02, 3.642380921e-04
2.555000000e+00, 4.207421311e-04, 3.827935049e-06, 3.451714286e-02, 3.140388641e-04
2.625000000e+00, 3.007092346e-04, 3.149867265e-06, 2.604000000e-02, 2.727636339e-04
2.695000000e+00, 2.159565008e-04, 2.599999170e-06, 1.971142857e-02, 2.373149118e-04
2.765000000e+00, 1.457448870e-04, 2.081857390e-06, 1.400285714e-02, 2.000204071e-04
2.835000000e+00, 9.971328466e-05, 1.679474685e-06, 1.007142857e-02, 1.696334584e-04
2.905000000e+00, 6.856407029e-05, 1.359104023e-06, 7.271428571e-03, 1.441371229e-04
2.975000000e+00, 4.631523181e-05, 1.090751901e-06, 5.151428571e-03, 1.213192785e-04
3.045000000e+00, 3.185205986e-05, 8.837571646e-07, 3.711428571e-03, 1.029761217e-04
3.115000000e+00, 2.125176481e-05, 7.056532685e-07, 2.591428571e-03, 8.604697341e-05
3.185000000e+00, 1.317841146e-05, 5.434685289e-07, 1.680000000e-03, 6.928203230e-05
3.255000000e+00, 8.583479213e-06, 4.291739606e-07, 1.142857143e-03, 5.714285714e-05
3.325000000e+00, 5.716991521e-06, 3.428823658e-07, 7.942857143e-04, 4.763809143e-05
3.395000000e+00, 3.057446364e-06, 2.455800017e-07, 4.428571429e-04, 3.557114171e-05
3.465000000e+00, 2.158766624e-06, 2.021870190e-07, 3.257142857e-04, 3.050593786e-05
