# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 4.332912124e-01, 1.677710275e-02, 9.528571429e-02, 3.689477591e-03
1.050000000e-01, 4.259289429e-01, 9.603620114e-03, 2.810000000e-01, 6.335839103e-03
1.750000000e-01, 4.413464014e-01, 7.572369828e-03, 4.852857143e-01, 8.326255498e-03
2.450000000e-01, 3.919016470e-01, 6.030683658e-03, 6.032857143e-01, 9.283516223e-03
3.150000000e-01, 4.152464343e-01, 5.474679817e-03, 8.218571429e-01, 1.083550475e-02
3.850000000e-01, 3.807907507e-01, 4.742134597e-03, 9.211428571e-01, 1.147134851e-02
4.550000000e-01, 3.716780115e-01, 4.309618055e-03, 1.062571429e+00, 1.232054862e-02
5.250000000e-01, 3.546881589e-01, 3.919265992e-03, 1.170000000e+00, 1.292837411e-02
5.950000000e-01, 3.434154798e-01, 3.622534220e-03, 1.283857143e+00, 1.354282700e-02
6.650000000e-01, 3.302422332e-01, 3.360210847e-03, 1.379857143e+00, 1.404003023e-02
7.350000000e-01, 3.153711652e-01, 3.123405478e-03, 1.456428571e+00, 1.442432752e-02
8.050000000e-01, 2.904613016e-01, 2.864225753e-03, 1.469142857e+00, 1.448715124e-02
8.750000000e-01, 2.693811094e-01, 2.645699942e-03, 1.481000000e+00, 1.454549513e-02
9.450000000e-01, 2.440856988e-01, 2.423350925e-03, 1.449285714e+00, 1.438891297e-02
1.015000000e+00, 2.295818454e-01, 2.267758461e-03, 1.464142857e+00, 1.446247784e-02
1.085000000e+00, 2.087769188e-01, 2.091642312e-03, 1.423285714e+00, 1.425926122e-02
1.155000000e+00, 1.907497092e-01, 1.937768965e-03, 1.384285714e+00, 1.406254252e-02
1.225000000e+00, 1.628484514e-01, 1.738540523e-03, 1.253428571e+00, 1.338137603e-02
1.295000000e+00, 1.432657844e-01, 1.585978891e-03, 1.165714286e+00, 1.290467405e-02
1.365000000e+00, 1.333037163e-01, 1.490101489e-03, 1.143285714e+00, 1.277992686e-02
1.435000000e+00, 1.099904047e-01, 1.320117217e-03, 9.917142857e-01, 1.190266648e-02
1.505000000e+00, 9.303048311e-02, 1.185510580e-03, 8.797142857e-01, 1.121041790e-02
1.575000000e+00, 8.146134638e-02, 1.084417603e-03, 8.061428571e-01, 1.073141488e-02
1.645000000e+00, 6.772550770e-02, 9.675072528e-04, 7.000000000e-01, 1.000000000e-02
1.715000000e+00, 5.574731659e-02, 8.596882032e-04, 6.007142857e-01, 9.263710192e-03
1.785000000e+00, 4.594412803e-02, 7.649920860e-04, 5.152857143e-01, 8.579757858e-03
1.855000000e+00, 3.820454044e-02, 6.843000612e-04, 4.452857143e-01, 7.975728487e-03
1.925000000e+00, 3.033097543e-02, 5.985340575e-04, 3.668571429e-01, 7.239348262e-03
1.995000000e+00, 2.511833115e-02, 5.350384419e-04, 3.148571429e-01, 6.706682625e-03
2.065000000e+00, 1.810105337e-02, 4.464295588e-04, 2.348571429e-01, 5.792324266e-03
2.135000000e+00, 1.450445182e-02, 3.930182939e-04, 1.945714286e-01, 5.272183453e-03
2.205000000e+00, 1.107433812e-02, 3.379213554e-04, 1.534285714e-01, 4.681705602e-03
2.275000000e+00, 9.554293601e-03, 3.090079385e-04, 1.365714286e-01, 4.417035667e-03
2.345000000e+00, 7.388124681e-03, 2.676435183e-04, 1.088571429e-01, 3.943478212e-03
2.415000000e+00, 5.498165440e-03, 2.275157047e-04, 8.342857143e-02, 3.452298850e-03
2.485000000e+00, 4.428341044e-03, 2.012882293e-04, 6.914285714e-02, 3.142857143e-03
2.555000000e+00, 2.580650461e-03, 1.515410130e-04, 4.142857143e-02, 2.432769481e-03
2.625000000e+00, 2.000804999e-03, 1.316433040e-04, 3.300000000e-02, 2.171240593e-03
2.695000000e+00, 1.788542165e-03, 1.228375802e-04, 3.028571429e-02, 2.080031397e-03
2.765000000e+00, 1.060758856e-03, 9.339460962e-05, 1.842857143e-02, 1.622545242e-03
2.835000000e+00, 7.538707307e-04, 7.775582886e-05, 1.342857143e-02, 1.385051388e-03
2.905000000e+00, 4.852523468e-04, 6.162710967e-05, 8.857142857e-03, 1.124858268e-03
2.975000000e+00, 6.419695184e-04, 7.004461695e-05, 1.200000000e-02, 1.309307341e-03
3.045000000e+00, 3.285394087e-04, 4.952917943e-05, 6.285714286e-03, 9.476070830e-04
3.115000000e+00, 1.751762731e-04, 3.575770700e-05, 3.428571429e-03, 6.998542122e-04
3.185000000e+00, 1.856034322e-04, 3.639982779e-05, 3.714285714e-03, 7.284313591e-04
3.255000000e+00, 6.286567864e-05, 2.095522621e-05, 1.285714286e-03, 4.285714286e-04
3.325000000e+00, 5.470416948e-05, 1.934084460e-05, 1.142857143e-03, 4.040610178e-04
3.395000000e+00, 4.687921741e-05, 1.771867870e-05, 1.000000000e-03, 3.779644730e-04
3.465000000e+00, 6.561737501e-06, 6.561737501e-06, 1.428571429e-04, 1.428571429e-04
