# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 5.498501678e-01, 6.186297711e-02, 1.128571429e-02, 1.269742060e-03
1.050000000e-01, 5.717248580e-01, 2.384257476e-02, 8.214285714e-02, 3.425593945e-03
1.750000000e-01, 5.699979088e-01, 1.445002059e-02, 2.222857143e-01, 5.635166550e-03
2.450000000e-01, 5.808885796e-01, 1.045331873e-02, 4.411428571e-01, 7.938539423e-03
3.150000000e-01, 5.782611850e-01, 8.122799600e-03, 7.240000000e-01, 1.016998385e-02
3.850000000e-01, 5.111487928e-01, 6.252613859e-03, 9.547142857e-01, 1.167851682e-02
4.550000000e-01, 4.960324797e-01, 5.213889613e-03, 1.293000000e+00, 1.359096338e-02
5.250000000e-01, 4.402590288e-01, 4.258134926e-03, 1.527142857e+00, 1.477035089e-02
5.950000000e-01, 3.895426873e-01, 3.534730411e-03, 1.735000000e+00, 1.574347938e-02
6.650000000e-01, 3.559168399e-01, 3.023418445e-03, 1.979714286e+00, 1.681714383e-02
7.350000000e-01, 3.151823842e-01, 2.574397510e-03, 2.141285714e+00, 1.748993880e-02
8.050000000e-01, 2.821920193e-01, 2.224260993e-03, 2.299428571e+00, 1.812428746e-02
8.750000000e-01, 2.438716312e-01, 1.902404461e-03, 2.347571429e+00, 1.831303762e-02
9.450000000e-01, 2.169600632e-01, 1.661517315e-03, 2.435857143e+00, 1.865421110e-02
1.015000000e+00, 1.846474716e-01, 1.427136909e-03, 2.391428571e+00, 1.848330742e-02
1.085000000e+00, 1.565498020e-01, 1.229326559e-03, 2.316714286e+00, 1.819228363e-02
1.155000000e+00, 1.334351235e-01, 1.066185294e-03, 2.237571429e+00, 1.787884396e-02
1.225000000e+00, 1.136644305e-01, 9.278188034e-04, 2.144000000e+00, 1.750102038e-02
1.295000000e+00, 9.306376573e-02, 7.941704517e-04, 1.961714286e+00, 1.674051666e-02
1.365000000e+00, 7.590261306e-02, 6.804468012e-04, 1.777571429e+00, 1.593545655e-02
1.435000000e+00, 6.562722468e-02, 6.018567164e-04, 1.698571429e+00, 1.557732523e-02
1.505000000e+00, 5.157620969e-02, 5.087390987e-04, 1.468285714e+00, 1.448292450e-02
1.575000000e+00, 4.294752230e-02, 4.436074236e-04, 1.339000000e+00, 1.383060788e-02
1.645000000e+00, 3.517868311e-02, 3.844033556e-04, 1.196428571e+00, 1.307357516e-02
1.715000000e+00, 2.757385804e-02, 3.264378784e-04, 1.019285714e+00, 1.206698989e-02
1.785000000e+00, 2.226813090e-02, 2.818524949e-04, 8.917142857e-01, 1.128661841e-02
1.855000000e+00, 1.794372052e-02, 2.434628018e-04, 7.760000000e-01, 1.052887187e-02
1.925000000e+00, 1.464111693e-02, 2.119231946e-04, 6.818571429e-01, 9.869557400e-03
1.995000000e+00, 1.065582282e-02, 1.744513626e-04, 5.330000000e-01, 8.725987459e-03
2.065000000e+00, 8.482240346e-03, 1.503697530e-04, 4.545714286e-01, 8.058459872e-03
2.135000000e+00, 6.778083062e-03, 1.300116172e-04, 3.882857143e-01, 7.447777370e-03
2.205000000e+00, 5.360959061e-03, 1.119542187e-04, 3.275714286e-01, 6.840754225e-03
2.275000000e+00, 3.823787970e-03, 9.164197011e-05, 2.487142857e-01, 5.960756013e-03
2.345000000e+00, 2.987046623e-03, 7.857928591e-05, 2.064285714e-01, 5.430450802e-03
2.415000000e+00, 1.972458765e-03, 6.200371005e-05, 1.445714286e-01, 4.544563920e-03
2.485000000e+00, 1.472653522e-03, 5.206616457e-05, 1.142857143e-01, 4.040610178e-03
2.555000000e+00, 1.140576508e-03, 4.456601195e-05, 9.357142857e-02, 3.656138255e-03
2.625000000e+00, 6.549350786e-04, 3.287024935e-05, 5.671428571e-02, 2.846408406e-03
2.695000000e+00, 5.869233787e-04, 3.030859295e-05, 5.357142857e-02, 2.766416676e-03
2.765000000e+00, 3.509058694e-04, 2.284202650e-05, 3.371428571e-02, 2.194613071e-03
2.835000000e+00, 2.800458208e-04, 1.990198987e-05, 2.828571429e-02, 2.010178183e-03
2.905000000e+00, 2.074433561e-04, 1.671626201e-05, 2.200000000e-02, 1.772810521e-03
2.975000000e+00, 1.271549625e-04, 1.277955457e-05, 1.414285714e-02, 1.421410624e-03
3.045000000e+00, 1.164721203e-04, 1.194978741e-05, 1.357142857e-02, 1.392399192e-03
3.115000000e+00, 4.803320602e-05, 7.501526480e-06, 5.857142857e-03, 9.147320339e-04
3.185000000e+00, 5.491004776e-05, 7.844292537e-06, 7.000000000e-03, 1.000000000e-03
3.255000000e+00, 5.364674508e-05, 7.586795447e-06, 7.142857143e-03, 1.010152545e-03
3.325000000e+00, 1.439530239e-05, 3.847306395e-06, 2.000000000e-03, 5.345224838e-04
3.395000000e+00, 2.662937156e-05, 5.124824946e-06, 3.857142857e-03, 7.423074890e-04
3.465000000e+00, 3.787309866e-06, 1.893654933e-06, 5.714285714e-04, 2.857142857e-04
