# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 3.201659205e-01, 4.720588961e-02, 6.571428571e-03, 9.689042833e-04
1.050000000e-01, 6.950185666e-01, 2.628801649e-02, 9.985714286e-02, 3.776944019e-03
1.750000000e-01, 6.297084867e-01, 1.518803566e-02, 2.455714286e-01, 5.922974983e-03
2.450000000e-01, 6.124913262e-01, 1.073390494e-02, 4.651428571e-01, 8.151624353e-03
3.150000000e-01, 6.160284408e-01, 8.383861580e-03, 7.712857143e-01, 1.049684112e-02
3.850000000e-01, 6.235816412e-01, 6.906127620e-03, 1.164714286e+00, 1.289913777e-02
4.550000000e-01, 5.915561359e-01, 5.693833412e-03, 1.542000000e+00, 1.484202528e-02
5.250000000e-01, 5.844448904e-01, 4.906107569e-03, 2.027285714e+00, 1.701799768e-02
5.950000000e-01, 5.438522689e-01, 4.176564962e-03, 2.422285714e+00, 1.860217236e-02
6.650000000e-01, 4.852314083e-01, 3.530192940e-03, 2.699000000e+00, 1.963597282e-02
7.350000000e-01, 4.889542985e-01, 3.206481752e-03, 3.321857143e+00, 2.178419198e-02
8.050000000e-01, 4.604379351e-01, 2.841181190e-03, 3.751857143e+00, 2.315123305e-02
8.750000000e-01, 4.253840709e-01, 2.512539080e-03, 4.094857143e+00, 2.418635135e-02
9.450000000e-01, 3.860135733e-01, 2.216237301e-03, 4.333857143e+00, 2.488217131e-02
1.015000000e+00, 3.774463458e-01, 2.040429380e-03, 4.888428571e+00, 2.642625472e-02
1.085000000e+00, 3.639539147e-01, 1.874408308e-03, 5.386000000e+00, 2.773857551e-02
1.155000000e+00, 3.318371278e-01, 1.681357614e-03, 5.564571429e+00, 2.819465863e-02
1.225000000e+00, 2.972330916e-01, 1.500373756e-03, 5.606571429e+00, 2.830086175e-02
1.295000000e+00, 2.753283241e-01, 1.365994212e-03, 5.803714286e+00, 2.879413206e-02
1.365000000e+00, 2.537488466e-01, 1.244135985e-03, 5.942571429e+00, 2.913655394e-02
1.435000000e+00, 2.222494389e-01, 1.107570625e-03, 5.752285714e+00, 2.866627116e-02
1.505000000e+00, 2.058933532e-01, 1.016462985e-03, 5.861428571e+00, 2.893694764e-02
1.575000000e+00, 1.880105340e-01, 9.281557079e-04, 5.861714286e+00, 2.893765290e-02
1.645000000e+00, 1.718231894e-01, 8.495486796e-04, 5.843714286e+00, 2.889318824e-02
1.715000000e+00, 1.552715442e-01, 7.746360692e-04, 5.739714286e+00, 2.863492943e-02
1.785000000e+00, 1.387780455e-01, 7.036235781e-04, 5.557285714e+00, 2.817619490e-02
1.855000000e+00, 1.189465185e-01, 6.268335527e-04, 5.144000000e+00, 2.710824861e-02
1.925000000e+00, 1.036043839e-01, 5.637420801e-04, 4.825000000e+00, 2.625425136e-02
1.995000000e+00, 9.064732254e-02, 5.088131901e-04, 4.534142857e+00, 2.545063248e-02
2.065000000e+00, 7.881392774e-02, 4.583599729e-04, 4.223714286e+00, 2.456395235e-02
2.135000000e+00, 6.611249450e-02, 4.060415613e-04, 3.787285714e+00, 2.326028410e-02
2.205000000e+00, 5.556646925e-02, 3.604338901e-04, 3.395285714e+00, 2.202364221e-02
2.275000000e+00, 4.966092464e-02, 3.302591938e-04, 3.230142857e+00, 2.148136354e-02
2.345000000e+00, 4.158713078e-02, 2.932017487e-04, 2.874000000e+00, 2.026256224e-02
2.415000000e+00, 3.512808728e-02, 2.616621839e-04, 2.574714286e+00, 1.917853818e-02
2.485000000e+00, 2.981571136e-02, 2.342760453e-04, 2.313857143e+00, 1.818106214e-02
2.555000000e+00, 2.310581631e-02, 2.005867397e-04, 1.895571429e+00, 1.645587793e-02
2.625000000e+00, 1.989385923e-02, 1.811604509e-04, 1.722714286e+00, 1.568763975e-02
2.695000000e+00, 1.560590136e-02, 1.562857925e-04, 1.424428571e+00, 1.426498496e-02
2.765000000e+00, 1.208989671e-02, 1.340758658e-04, 1.161571429e+00, 1.288172254e-02
2.835000000e+00, 9.104317920e-03, 1.134764289e-04, 9.195714286e-01, 1.146155953e-02
2.905000000e+00, 8.097026061e-03, 1.044364674e-04, 8.587142857e-01, 1.107580559e-02
2.975000000e+00, 6.023805801e-03, 8.795986234e-05, 6.700000000e-01, 9.783367810e-03
3.045000000e+00, 4.524022358e-03, 7.447517965e-05, 5.271428571e-01, 8.677910028e-03
3.115000000e+00, 3.471277791e-03, 6.377104651e-05, 4.232857143e-01, 7.776206514e-03
3.185000000e+00, 2.896785173e-03, 5.697522057e-05, 3.692857143e-01, 7.263270754e-03
3.255000000e+00, 2.180203720e-03, 4.836544907e-05, 2.902857143e-01, 6.439672954e-03
3.325000000e+00, 1.593765622e-03, 4.048168728e-05, 2.214285714e-01, 5.624291339e-03
3.395000000e+00, 1.110543421e-03, 3.309530200e-05, 1.608571429e-01, 4.793703353e-03
3.465000000e+00, 1.003637115e-03, 3.082646893e-05, 1.514285714e-01, 4.651091599e-03
