# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 3.384738431e-01, 2.097029682e-03, 7.443428571e-02, 4.611609131e-04
1.050000000e-01, 3.373391874e-01, 1.208689617e-03, 2.225542857e-01, 7.974141883e-04
1.750000000e-01, 3.399887383e-01, 9.399165251e-04, 3.738371429e-01, 1.033492198e-03
2.450000000e-01, 3.392700818e-01, 7.935344455e-04, 5.222657143e-01, 1.221551372e-03
3.150000000e-01, 3.409438123e-01, 7.015557253e-04, 6.747971429e-01, 1.388521457e-03
3.850000000e-01, 3.417998566e-01, 6.353771861e-04, 8.268228571e-01, 1.536994151e-03
4.550000000e-01, 3.398250360e-01, 5.827711328e-04, 9.715085714e-01, 1.666054854e-03
5.250000000e-01, 3.379463581e-01, 5.410286669e-04, 1.114774286e+00, 1.784676270e-03
5.950000000e-01, 3.324316871e-01, 5.040443693e-04, 1.242794286e+00, 1.884367484e-03
6.650000000e-01, 3.249523400e-01, 4.713842366e-04, 1.357754286e+00, 1.969593349e-03
7.350000000e-01, 3.140490501e-01, 4.407893736e-04, 1.450322857e+00, 2.035627567e-03
8.050000000e-01, 3.013962489e-01, 4.126169124e-04, 1.524451429e+00, 2.087001560e-03
8.750000000e-01, 2.869726027e-01, 3.861821850e-04, 1.577714286e+00, 2.123147452e-03
9.450000000e-01, 2.688946222e-01, 3.597089118e-04, 1.596591429e+00, 2.135811273e-03
1.015000000e+00, 2.480671153e-01, 3.333708487e-04, 1.582031429e+00, 2.126050281e-03
1.085000000e+00, 2.275297507e-01, 3.088021177e-04, 1.551128571e+00, 2.105183108e-03
1.155000000e+00, 2.052742464e-01, 2.842839131e-04, 1.489691429e+00, 2.063070824e-03
1.225000000e+00, 1.830795967e-01, 2.606921614e-04, 1.409145714e+00, 2.006522019e-03
1.295000000e+00, 1.606490507e-01, 2.375090930e-04, 1.307157143e+00, 1.932546169e-03
1.365000000e+00, 1.396852382e-01, 2.157172993e-04, 1.198017143e+00, 1.850109760e-03
1.435000000e+00, 1.193375293e-01, 1.944637312e-04, 1.075991429e+00, 1.753357130e-03
1.505000000e+00, 1.010853699e-01, 1.747639878e-04, 9.558828571e-01, 1.652602153e-03
1.575000000e+00, 8.415709188e-02, 1.558766718e-04, 8.328200000e-01, 1.542558172e-03
1.645000000e+00, 6.852826229e-02, 1.376347037e-04, 7.082971429e-01, 1.422570252e-03
1.715000000e+00, 5.543656342e-02, 1.212389402e-04, 5.973657143e-01, 1.306429938e-03
1.785000000e+00, 4.444288741e-02, 1.064040275e-04, 4.984485714e-01, 1.193372857e-03
1.855000000e+00, 3.510478803e-02, 9.276566542e-05, 4.091571429e-01, 1.081212471e-03
1.925000000e+00, 2.733921683e-02, 8.036255045e-05, 3.306714286e-01, 9.719956328e-04
1.995000000e+00, 2.088627984e-02, 6.899778355e-05, 2.618085714e-01, 8.648840904e-04
2.065000000e+00, 1.603418613e-02, 5.942093429e-05, 2.080400000e-01, 7.709734107e-04
2.135000000e+00, 1.199481958e-02, 5.054450688e-05, 1.609057143e-01, 6.780343739e-04
2.205000000e+00, 8.801933432e-03, 4.260502128e-05, 1.219457143e-01, 5.902680125e-04
2.275000000e+00, 6.571675000e-03, 3.624293681e-05, 9.393714286e-02, 5.180654753e-04
2.345000000e+00, 4.762528666e-03, 3.038949068e-05, 7.017142857e-02, 4.477608691e-04
2.415000000e+00, 3.325072038e-03, 2.502176872e-05, 5.045428571e-02, 3.796776291e-04
2.485000000e+00, 2.394780960e-03, 2.093368792e-05, 3.739142857e-02, 3.268526473e-04
2.555000000e+00, 1.679736486e-03, 1.729024588e-05, 2.696571429e-02, 2.775696272e-04
2.625000000e+00, 1.186278150e-03, 1.433522967e-05, 1.956571429e-02, 2.364361242e-04
2.695000000e+00, 8.093996947e-04, 1.168633084e-05, 1.370571429e-02, 1.978867951e-04
2.765000000e+00, 5.279125470e-04, 9.317715971e-06, 9.171428571e-03, 1.618767483e-04
2.835000000e+00, 4.043634281e-04, 8.053514536e-06, 7.202857143e-03, 1.434558881e-04
2.905000000e+00, 2.587490739e-04, 6.364178871e-06, 4.722857143e-03, 1.161631506e-04
2.975000000e+00, 1.730260702e-04, 5.142666136e-06, 3.234285714e-03, 9.612916481e-05
3.045000000e+00, 1.039379220e-04, 3.939756767e-06, 1.988571429e-03, 7.537660548e-05
3.115000000e+00, 7.007050923e-05, 3.198266543e-06, 1.371428571e-03, 6.259686371e-05
3.185000000e+00, 3.897672076e-05, 2.358978454e-06, 7.800000000e-04, 4.720774755e-05
3.255000000e+00, 2.584477900e-05, 1.900145942e-06, 5.285714286e-04, 3.886134431e-05
3.325000000e+00, 1.873617805e-05, 1.600739719e-06, 3.914285714e-04, 3.344199974e-05
3.395000000e+00, 1.406376522e-05, 1.372482951e-06, 3.000000000e-04, 2.927700219e-05
3.465000000e+00, 8.136554502e-06, 1.033343455e-06, 1.771428571e-04, 2.249716535e-05
