# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 4.251840545e-01, 2.350338994e-03, 9.350285714e-02, 5.168665402e-04
1.050000000e-01, 4.123607134e-01, 1.336349438e-03, 2.720485714e-01, 8.816357710e-04
1.750000000e-01, 4.157438927e-01, 1.039369476e-03, 4.571342857e-01, 1.142846429e-03
2.450000000e-01, 4.078004370e-01, 8.699951768e-04, 6.277600000e-01, 1.339253523e-03
3.150000000e-01, 4.013389629e-01, 7.611608261e-04, 7.943314286e-01, 1.506492073e-03
3.850000000e-01, 3.881313664e-01, 6.770723046e-04, 9.389000000e-01, 1.637855741e-03
4.550000000e-01, 3.797312017e-01, 6.160393971e-04, 1.085594286e+00, 1.761163808e-03
5.250000000e-01, 3.628966563e-01, 5.606448992e-04, 1.197077143e+00, 1.849383791e-03
5.950000000e-01, 3.484511193e-01, 5.160460911e-04, 1.302682857e+00, 1.929235864e-03
6.650000000e-01, 3.310874126e-01, 4.758132765e-04, 1.383388571e+00, 1.988099287e-03
7.350000000e-01, 3.103710087e-01, 4.382005799e-04, 1.433337143e+00, 2.023672152e-03
8.050000000e-01, 2.922299410e-01, 4.062940465e-04, 1.478088571e+00, 2.055020731e-03
8.750000000e-01, 2.719863134e-01, 3.759633774e-04, 1.495322857e+00, 2.066966623e-03
9.450000000e-01, 2.500938881e-01, 3.469058940e-04, 1.484960000e+00, 2.059791945e-03
1.015000000e+00, 2.287503420e-01, 3.201281749e-04, 1.458840000e+00, 2.041596014e-03
1.085000000e+00, 2.070778690e-01, 2.945967953e-04, 1.411702857e+00, 2.008341787e-03
1.155000000e+00, 1.866449486e-01, 2.710773128e-04, 1.354497143e+00, 1.967229482e-03
1.225000000e+00, 1.660137323e-01, 2.482447120e-04, 1.277791429e+00, 1.910715220e-03
1.295000000e+00, 1.458698507e-01, 2.263205181e-04, 1.186902857e+00, 1.841507812e-03
1.365000000e+00, 1.268768882e-01, 2.055895222e-04, 1.088165714e+00, 1.763248394e-03
1.435000000e+00, 1.097990068e-01, 1.865302614e-04, 9.899885714e-01, 1.681826024e-03
1.505000000e+00, 9.434662726e-02, 1.688383049e-04, 8.921600000e-01, 1.596567747e-03
1.575000000e+00, 7.957660540e-02, 1.515753114e-04, 7.874914286e-01, 1.499991837e-03
1.645000000e+00, 6.721328172e-02, 1.363077794e-04, 6.947057143e-01, 1.408855376e-03
1.715000000e+00, 5.611189476e-02, 1.219751746e-04, 6.046428571e-01, 1.314363352e-03
1.785000000e+00, 4.593393804e-02, 1.081742203e-04, 5.151714286e-01, 1.213226429e-03
1.855000000e+00, 3.750075324e-02, 9.587912946e-05, 4.370828571e-01, 1.117500856e-03
1.925000000e+00, 3.024735264e-02, 8.452873342e-05, 3.658457143e-01, 1.022386165e-03
1.995000000e+00, 2.422437385e-02, 7.430719606e-05, 3.036514286e-01, 9.314373356e-04
2.065000000e+00, 1.911841184e-02, 6.488464339e-05, 2.480571429e-01, 8.418638215e-04
2.135000000e+00, 1.514810018e-02, 5.680102703e-05, 2.032057143e-01, 7.619630930e-04
2.205000000e+00, 1.157464248e-02, 4.885685862e-05, 1.603600000e-01, 6.768836152e-04
2.275000000e+00, 9.038401723e-03, 4.250413313e-05, 1.291971429e-01, 6.075645594e-04
2.345000000e+00, 6.850594980e-03, 3.644758573e-05, 1.009371429e-01, 5.370212628e-04
2.415000000e+00, 5.187104847e-03, 3.125215642e-05, 7.870857143e-02, 4.742168625e-04
2.485000000e+00, 3.875530371e-03, 2.663044474e-05, 6.051142857e-02, 4.158001875e-04
2.555000000e+00, 2.930017141e-03, 2.283577062e-05, 4.703714286e-02, 3.665949219e-04
2.625000000e+00, 2.152207905e-03, 1.930872072e-05, 3.549714286e-02, 3.184657096e-04
2.695000000e+00, 1.525828943e-03, 1.604536435e-05, 2.583714286e-02, 2.716991133e-04
2.765000000e+00, 1.104011504e-03, 1.347458118e-05, 1.918000000e-02, 2.340939982e-04
2.835000000e+00, 8.212379024e-04, 1.147714860e-05, 1.462857143e-02, 2.044405008e-04
2.905000000e+00, 5.625796562e-04, 9.384150991e-06, 1.026857143e-02, 1.712856547e-04
2.975000000e+00, 4.090262931e-04, 7.906935057e-06, 7.645714286e-03, 1.478001961e-04
3.045000000e+00, 2.638768796e-04, 6.277447150e-06, 5.048571429e-03, 1.201019975e-04
3.115000000e+00, 2.265613132e-04, 5.750954012e-06, 4.434285714e-03, 1.125583749e-04
3.185000000e+00, 1.279235963e-04, 4.273627403e-06, 2.560000000e-03, 8.552359741e-05
3.255000000e+00, 1.000262798e-04, 3.738157586e-06, 2.045714286e-03, 7.645193234e-05
3.325000000e+00, 5.073811720e-05, 2.634191794e-06, 1.060000000e-03, 5.503245796e-05
3.395000000e+00, 3.897672076e-05, 2.284855835e-06, 8.314285714e-04, 4.873920603e-05
3.465000000e+00, 2.834670601e-05, 1.928749044e-06, 6.171428571e-04, 4.199125273e-05
