# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 5.125438780e-01, 1.824704524e-02, 1.127142857e-01, 4.012734830e-03
1.050000000e-01, 4.820121134e-01, 1.021634082e-02, 3.180000000e-01, 6.740072064e-03
1.750000000e-01, 4.562874777e-01, 7.699478251e-03, 5.017142857e-01, 8.466018509e-03
2.450000000e-01, 4.461906510e-01, 6.434847171e-03, 6.868571429e-01, 9.905677613e-03
3.150000000e-01, 4.267229132e-01, 5.549818120e-03, 8.445714286e-01, 1.098421874e-02
3.850000000e-01, 4.155745212e-01, 4.953990137e-03, 1.005285714e+00, 1.198383265e-02
4.550000000e-01, 3.965631486e-01, 4.451552755e-03, 1.133714286e+00, 1.272631854e-02
5.250000000e-01, 3.923656556e-01, 4.122179385e-03, 1.294285714e+00, 1.359771890e-02
5.950000000e-01, 3.733358449e-01, 3.777047163e-03, 1.395714286e+00, 1.412047291e-02
6.650000000e-01, 3.449097886e-01, 3.434021288e-03, 1.441142857e+00, 1.434843375e-02
7.350000000e-01, 3.220838226e-01, 3.156471208e-03, 1.487428571e+00, 1.457702974e-02
8.050000000e-01, 2.940765337e-01, 2.881995451e-03, 1.487428571e+00, 1.457702974e-02
8.750000000e-01, 2.765788105e-01, 2.680812696e-03, 1.520571429e+00, 1.473853757e-02
9.450000000e-01, 2.523862968e-01, 2.464211768e-03, 1.498571429e+00, 1.463152872e-02
1.015000000e+00, 2.240265427e-01, 2.240153422e-03, 1.428714286e+00, 1.428642855e-02
1.085000000e+00, 2.019245598e-01, 2.057030585e-03, 1.376571429e+00, 1.402330422e-02
1.155000000e+00, 1.806511951e-01, 1.885777602e-03, 1.311000000e+00, 1.368523709e-02
1.225000000e+00, 1.552758314e-01, 1.697637395e-03, 1.195142857e+00, 1.306654866e-02
1.295000000e+00, 1.363307372e-01, 1.547116626e-03, 1.109285714e+00, 1.258846249e-02
1.365000000e+00, 1.208778045e-01, 1.418952971e-03, 1.036714286e+00, 1.216971819e-02
1.435000000e+00, 1.046667550e-01, 1.287773474e-03, 9.437142857e-01, 1.161104330e-02
1.505000000e+00, 8.683650811e-02, 1.145365168e-03, 8.211428571e-01, 1.083079510e-02
1.575000000e+00, 7.368043805e-02, 1.031328137e-03, 7.291428571e-01, 1.020604063e-02
1.645000000e+00, 6.244568240e-02, 9.290290679e-04, 6.454285714e-01, 9.602295644e-03
1.715000000e+00, 5.112048818e-02, 8.232400301e-04, 5.508571429e-01, 8.870956969e-03
1.785000000e+00, 4.306545519e-02, 7.406387945e-04, 4.830000000e-01, 8.306623863e-03
1.855000000e+00, 3.581445851e-02, 6.625494282e-04, 4.174285714e-01, 7.722218144e-03
1.925000000e+00, 2.946876312e-02, 5.899655232e-04, 3.564285714e-01, 7.135710711e-03
1.995000000e+00, 2.190446120e-02, 4.996384855e-04, 2.745714286e-01, 6.262945776e-03
2.065000000e+00, 1.892683135e-02, 4.564991508e-04, 2.455714286e-01, 5.922974983e-03
2.135000000e+00, 1.417432113e-02, 3.885198747e-04, 1.901428571e-01, 5.211838956e-03
2.205000000e+00, 1.195079877e-02, 3.510388764e-04, 1.655714286e-01, 4.863441294e-03
2.275000000e+00, 9.004621898e-03, 2.999874498e-04, 1.287142857e-01, 4.288094577e-03
2.345000000e+00, 6.864556790e-03, 2.579858423e-04, 1.011428571e-01, 3.801181342e-03
2.415000000e+00, 5.479336106e-03, 2.271257889e-04, 8.314285714e-02, 3.446382309e-03
2.485000000e+00, 3.980017260e-03, 1.908272216e-04, 6.214285714e-02, 2.979521945e-03
2.555000000e+00, 3.061185375e-03, 1.650480541e-04, 4.914285714e-02, 2.649605284e-03
2.625000000e+00, 1.992143505e-03, 1.313580528e-04, 3.285714286e-02, 2.166535841e-03
2.695000000e+00, 1.383589222e-03, 1.080401668e-04, 2.342857143e-02, 1.829464068e-03
2.765000000e+00, 1.282778152e-03, 1.027044486e-04, 2.228571429e-02, 1.784285142e-03
2.835000000e+00, 9.303085613e-04, 8.637698145e-05, 1.657142857e-02, 1.538618516e-03
2.905000000e+00, 6.574386634e-04, 7.173243904e-05, 1.200000000e-02, 1.309307341e-03
2.975000000e+00, 3.668397248e-04, 5.294875346e-05, 6.857142857e-03, 9.897433186e-04
3.045000000e+00, 3.509398229e-04, 5.118983428e-05, 6.714285714e-03, 9.793792286e-04
3.115000000e+00, 1.824752844e-04, 3.649505689e-05, 3.571428571e-03, 7.142857143e-04
3.185000000e+00, 9.280171609e-05, 2.573856506e-05, 1.857142857e-03, 5.150787536e-04
3.255000000e+00, 2.305074883e-04, 4.012620325e-05, 4.714285714e-03, 8.206518066e-04
3.325000000e+00, 4.786614830e-05, 1.809170352e-05, 1.000000000e-03, 3.779644730e-04
3.395000000e+00, 1.205465590e-04, 2.841309645e-05, 2.571428571e-03, 6.060915267e-04
3.465000000e+00, 1.312347500e-04, 2.934498221e-05, 2.857142857e-03, 6.388765650e-04
