# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 3.319517384e-01, 1.468468035e-02, 7.300000000e-02, 3.229329873e-03
1.050000000e-01, 3.297863651e-01, 8.450506579e-03, 2.175714286e-01, 5.575090372e-03
1.750000000e-01, 3.225973255e-01, 6.473995642e-03, 3.547142857e-01, 7.118530002e-03
2.450000000e-01, 3.292604887e-01, 5.527742612e-03, 5.068571429e-01, 8.509298635e-03
3.150000000e-01, 3.278375290e-01, 4.864465222e-03, 6.488571429e-01, 9.627765969e-03
3.850000000e-01, 3.351407429e-01, 4.448814474e-03, 8.107142857e-01, 1.076179941e-02
4.550000000e-01, 3.306525144e-01, 4.064819472e-03, 9.452857143e-01, 1.162070636e-02
5.250000000e-01, 3.377549391e-01, 3.824566779e-03, 1.114142857e+00, 1.261599244e-02
5.950000000e-01, 3.275955167e-01, 3.538111684e-03, 1.224714286e+00, 1.322721375e-02
6.650000000e-01, 3.182073159e-01, 3.298415049e-03, 1.329571429e+00, 1.378182773e-02
7.350000000e-01, 3.162063806e-01, 3.127538689e-03, 1.460285714e+00, 1.444341528e-02
8.050000000e-01, 3.024085139e-01, 2.922537636e-03, 1.529571429e+00, 1.478209065e-02
8.750000000e-01, 2.840103719e-01, 2.716590137e-03, 1.561428571e+00, 1.493523433e-02
9.450000000e-01, 2.702626570e-01, 2.549988152e-03, 1.604714286e+00, 1.514083544e-02
1.015000000e+00, 2.597328030e-01, 2.412078435e-03, 1.656428571e+00, 1.538286882e-02
1.085000000e+00, 2.293968614e-01, 2.192501567e-03, 1.563857143e+00, 1.494684459e-02
1.155000000e+00, 2.134664444e-01, 2.049910320e-03, 1.549142857e+00, 1.487636120e-02
1.225000000e+00, 1.806292602e-01, 1.830994556e-03, 1.390285714e+00, 1.409298566e-02
1.295000000e+00, 1.653701499e-01, 1.703941662e-03, 1.345571429e+00, 1.386450467e-02
1.365000000e+00, 1.371680750e-01, 1.511545560e-03, 1.176428571e+00, 1.296384297e-02
1.435000000e+00, 1.179758792e-01, 1.367198920e-03, 1.063714286e+00, 1.232717257e-02
1.505000000e+00, 9.783459055e-02, 1.215735257e-03, 9.251428571e-01, 1.149622831e-02
1.575000000e+00, 8.325138837e-02, 1.096267424e-03, 8.238571429e-01, 1.084868091e-02
1.645000000e+00, 6.843040584e-02, 9.725292061e-04, 7.072857143e-01, 1.005190610e-02
1.715000000e+00, 5.902189143e-02, 8.845768005e-04, 6.360000000e-01, 9.531901324e-03
1.785000000e+00, 4.316735511e-02, 7.415145132e-04, 4.841428571e-01, 8.316445473e-03
1.855000000e+00, 3.482165524e-02, 6.533017094e-04, 4.058571429e-01, 7.614433126e-03
1.925000000e+00, 2.646873673e-02, 5.591293449e-04, 3.201428571e-01, 6.762743073e-03
1.995000000e+00, 2.024054271e-02, 4.802868238e-04, 2.537142857e-01, 6.020373573e-03
2.065000000e+00, 1.617423808e-02, 4.220004689e-04, 2.098571429e-01, 5.475362256e-03
2.135000000e+00, 1.289639586e-02, 3.705922081e-04, 1.730000000e-01, 4.971346469e-03
2.205000000e+00, 8.754295218e-03, 3.004466341e-04, 1.212857143e-01, 4.162514938e-03
2.275000000e+00, 7.065779891e-03, 2.657360025e-04, 1.010000000e-01, 3.798495943e-03
2.345000000e+00, 5.497462853e-03, 2.308717389e-04, 8.100000000e-02, 3.401680257e-03
2.415000000e+00, 3.634061404e-03, 1.849688553e-04, 5.514285714e-02, 2.806697529e-03
2.485000000e+00, 2.506953401e-03, 1.514505936e-04, 3.914285714e-02, 2.364706480e-03
2.555000000e+00, 1.815354117e-03, 1.271002108e-04, 2.914285714e-02, 2.040408122e-03
2.625000000e+00, 1.143317142e-03, 9.951298407e-05, 1.885714286e-02, 1.641303613e-03
2.695000000e+00, 1.273914466e-03, 1.036696890e-04, 2.157142857e-02, 1.755457961e-03
2.765000000e+00, 7.236184444e-04, 7.713798536e-05, 1.257142857e-02, 1.340118789e-03
2.835000000e+00, 3.608955626e-04, 5.379913405e-05, 6.428571429e-03, 9.583148475e-04
2.905000000e+00, 3.365459824e-04, 5.132278117e-05, 6.142857143e-03, 9.367769320e-04
2.975000000e+00, 1.604923796e-04, 3.502230847e-05, 3.000000000e-03, 6.546536707e-04
3.045000000e+00, 1.493360949e-04, 3.339256596e-05, 2.857142857e-03, 6.388765650e-04
3.115000000e+00, 7.299011378e-05, 2.308150062e-05, 1.428571429e-03, 4.517539515e-04
3.185000000e+00, 7.138593545e-05, 2.257421489e-05, 1.428571429e-03, 4.517539515e-04
3.255000000e+00, 7.683582945e-05, 2.316687425e-05, 1.571428571e-03, 4.738035415e-04
3.325000000e+00, 6.154219067e-05, 2.051406356e-05, 1.285714286e-03, 4.285714286e-04
3.395000000e+00, 4.018218635e-05, 1.640430888e-05, 8.571428571e-04, 3.499271061e-04
3.465000000e+00, 3.937042501e-05, 1.607290870e-05, 8.571428571e-04, 3.499271061e-04
