# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 6.054383958e-01, 1.983179404e-02, 1.331428571e-01, 4.361239292e-03
1.050000000e-01, 6.340213243e-01, 1.171705123e-02, 4.182857143e-01, 7.730142433e-03
1.750000000e-01, 6.392182204e-01, 9.113109619e-03, 7.028571429e-01, 1.002038738e-02
2.450000000e-01, 6.049743872e-01, 7.492840671e-03, 9.312857143e-01, 1.153433207e-02
3.150000000e-01, 5.785877659e-01, 6.462348757e-03, 1.145142857e+00, 1.279030245e-02
3.850000000e-01, 5.780365800e-01, 5.842629437e-03, 1.398285714e+00, 1.413347452e-02
4.550000000e-01, 5.104451315e-01, 5.050447727e-03, 1.459285714e+00, 1.443846902e-02
5.250000000e-01, 4.872090095e-01, 4.593450593e-03, 1.607142857e+00, 1.515228817e-02
5.950000000e-01, 4.577854065e-01, 4.182476745e-03, 1.711428571e+00, 1.563616948e-02
6.650000000e-01, 4.118198259e-01, 3.752354390e-03, 1.720714286e+00, 1.567853075e-02
7.350000000e-01, 3.626072387e-01, 3.349157805e-03, 1.674571429e+00, 1.546688365e-02
8.050000000e-01, 3.302006104e-01, 3.053880519e-03, 1.670142857e+00, 1.544641825e-02
8.750000000e-01, 2.906104300e-01, 2.747973990e-03, 1.597714286e+00, 1.510777608e-02
9.450000000e-01, 2.626597904e-01, 2.513864924e-03, 1.559571429e+00, 1.492634980e-02
1.015000000e+00, 2.252361651e-01, 2.246193090e-03, 1.436428571e+00, 1.432494613e-02
1.085000000e+00, 1.935215141e-01, 2.013774343e-03, 1.319285714e+00, 1.372841534e-02
1.155000000e+00, 1.687416416e-01, 1.822557289e-03, 1.224571429e+00, 1.322644228e-02
1.225000000e+00, 1.337087125e-01, 1.575334757e-03, 1.029142857e+00, 1.212519724e-02
1.295000000e+00, 1.216530172e-01, 1.461462257e-03, 9.898571429e-01, 1.189151644e-02
1.365000000e+00, 9.639242864e-02, 1.267115436e-03, 8.267142857e-01, 1.086747629e-02
1.435000000e+00, 7.597291709e-02, 1.097146182e-03, 6.850000000e-01, 9.892276930e-03
1.505000000e+00, 6.778625815e-02, 1.011960653e-03, 6.410000000e-01, 9.569296138e-03
1.575000000e+00, 5.309495516e-02, 8.754823519e-04, 5.254285714e-01, 8.663788114e-03
1.645000000e+00, 4.223860235e-02, 7.640695006e-04, 4.365714286e-01, 7.897299978e-03
1.715000000e+00, 3.367376555e-02, 6.681513120e-04, 3.628571429e-01, 7.199773239e-03
1.785000000e+00, 2.615006788e-02, 5.771362402e-04, 2.932857143e-01, 6.472863291e-03
1.855000000e+00, 2.046890681e-02, 5.008831399e-04, 2.385714286e-01, 5.837947640e-03
1.925000000e+00, 1.590958875e-02, 4.334860796e-04, 1.924285714e-01, 5.243071230e-03
1.995000000e+00, 1.151066900e-02, 3.621928548e-04, 1.442857143e-01, 4.540071023e-03
2.065000000e+00, 9.832263174e-03, 3.290241418e-04, 1.275714286e-01, 4.269015085e-03
2.135000000e+00, 7.369369061e-03, 2.801413773e-04, 9.885714286e-02, 3.757984697e-03
2.205000000e+00, 5.155650894e-03, 2.305677173e-04, 7.142857143e-02, 3.194382825e-03
2.275000000e+00, 3.557875023e-03, 1.885669991e-04, 5.085714286e-02, 2.695423181e-03
2.345000000e+00, 2.549969542e-03, 1.572378580e-04, 3.757142857e-02, 2.316753534e-03
2.415000000e+00, 2.137129375e-03, 1.418462586e-04, 3.242857143e-02, 2.152359882e-03
2.485000000e+00, 1.226028306e-03, 1.059127142e-04, 1.914285714e-02, 1.653690986e-03
2.555000000e+00, 8.987782640e-04, 8.943177985e-05, 1.442857143e-02, 1.435696517e-03
2.625000000e+00, 9.441027917e-04, 9.042864698e-05, 1.557142857e-02, 1.491472358e-03
2.695000000e+00, 3.712068644e-04, 5.596154039e-05, 6.285714286e-03, 9.476070830e-04
2.765000000e+00, 3.535862854e-04, 5.392140301e-05, 6.142857143e-03, 9.367769320e-04
2.835000000e+00, 2.646567459e-04, 4.607082596e-05, 4.714285714e-03, 8.206518066e-04
2.905000000e+00, 1.173997613e-04, 3.031248803e-05, 2.142857143e-03, 5.532833352e-04
2.975000000e+00, 2.063473452e-04, 3.971156510e-05, 3.857142857e-03, 7.423074890e-04
3.045000000e+00, 8.960165691e-05, 2.586577037e-05, 1.714285714e-03, 4.948716593e-04
3.115000000e+00, 5.839209102e-05, 2.064472176e-05, 1.142857143e-03, 4.040610178e-04
3.185000000e+00, 2.141578064e-05, 1.236440671e-05, 4.285714286e-04, 2.474358297e-04
3.255000000e+00, 4.889552783e-05, 1.848077241e-05, 1.000000000e-03, 3.779644730e-04
3.325000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.395000000e+00, 3.348515529e-05, 1.497501669e-05, 7.142857143e-04, 3.194382825e-04
3.465000000e+00, 6.561737501e-06, 6.561737501e-06, 1.428571429e-04, 1.428571429e-04
