# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 5.729058262e-01, 2.728246715e-03, 1.259885714e-01, 5.999727885e-04
1.050000000e-01, 5.648246527e-01, 1.564005284e-03, 3.726342857e-01, 1.031828177e-03
1.750000000e-01, 5.543503086e-01, 1.200187685e-03, 6.095400000e-01, 1.319675285e-03
2.450000000e-01, 5.359855914e-01, 9.974004480e-04, 8.250857143e-01, 1.535378701e-03
3.150000000e-01, 5.148420609e-01, 8.621002615e-04, 1.018977143e+00, 1.706271744e-03
3.850000000e-01, 4.938574931e-01, 7.637416984e-04, 1.194654286e+00, 1.847511288e-03
4.550000000e-01, 4.699912929e-01, 6.853544728e-04, 1.343634286e+00, 1.959325165e-03
5.250000000e-01, 4.377986536e-01, 6.157913765e-04, 1.444154286e+00, 2.031293948e-03
5.950000000e-01, 4.079899709e-01, 5.583960076e-04, 1.525268571e+00, 2.087560826e-03
6.650000000e-01, 3.771503747e-01, 5.078348405e-04, 1.575854286e+00, 2.121895571e-03
7.350000000e-01, 3.468519820e-01, 4.632383055e-04, 1.601811429e+00, 2.139299905e-03
8.050000000e-01, 3.121634268e-01, 4.199224690e-04, 1.578911429e+00, 2.123952803e-03
8.750000000e-01, 2.828706926e-01, 3.834122585e-04, 1.555162857e+00, 2.107918985e-03
9.450000000e-01, 2.528400628e-01, 3.488053071e-04, 1.501265714e+00, 2.071069920e-03
1.015000000e+00, 2.230843813e-01, 3.161386578e-04, 1.422705714e+00, 2.016153136e-03
1.085000000e+00, 1.964594368e-01, 2.869443131e-04, 1.339314286e+00, 1.956172857e-03
1.155000000e+00, 1.707841792e-01, 2.593037933e-04, 1.239394286e+00, 1.881788121e-03
1.225000000e+00, 1.473394286e-01, 2.338662166e-04, 1.134057143e+00, 1.800045351e-03
1.295000000e+00, 1.261683474e-01, 2.104826809e-04, 1.026597143e+00, 1.712639686e-03
1.365000000e+00, 1.068108728e-01, 1.886329036e-04, 9.160685714e-01, 1.617819142e-03
1.435000000e+00, 9.087058028e-02, 1.696921467e-04, 8.193228571e-01, 1.530007336e-03
1.505000000e+00, 7.597318238e-02, 1.515088330e-04, 7.184171429e-01, 1.432696900e-03
1.575000000e+00, 6.298580331e-02, 1.348519096e-04, 6.233085714e-01, 1.334496771e-03
1.645000000e+00, 5.185673017e-02, 1.197279804e-04, 5.359828571e-01, 1.237489229e-03
1.715000000e+00, 4.231890828e-02, 1.059281065e-04, 4.560142857e-01, 1.141445557e-03
1.785000000e+00, 3.440956618e-02, 9.362601353e-05, 3.859200000e-01, 1.050061223e-03
1.855000000e+00, 2.786124638e-02, 8.264267328e-05, 3.247314286e-01, 9.632258726e-04
1.925000000e+00, 2.256445043e-02, 7.300843800e-05, 2.729200000e-01, 8.830466741e-04
1.995000000e+00, 1.764346226e-02, 6.341565757e-05, 2.211600000e-01, 7.949123941e-04
2.065000000e+00, 1.411882163e-02, 5.575903403e-05, 1.831885714e-01, 7.234610690e-04
2.135000000e+00, 1.099100928e-02, 4.838334512e-05, 1.474400000e-01, 6.490432519e-04
2.205000000e+00, 8.364528010e-03, 4.153292011e-05, 1.158857143e-01, 5.754146686e-04
2.275000000e+00, 6.495320604e-03, 3.603177354e-05, 9.284571429e-02, 5.150470555e-04
2.345000000e+00, 5.070270237e-03, 3.135596519e-05, 7.470571429e-02, 4.620009718e-04
2.415000000e+00, 3.870746129e-03, 2.699695733e-05, 5.873428571e-02, 4.096489288e-04
2.485000000e+00, 2.904406159e-03, 2.305374694e-05, 4.534857143e-02, 3.599546457e-04
2.555000000e+00, 2.236623058e-03, 1.995156605e-05, 3.590571429e-02, 3.202932330e-04
2.625000000e+00, 1.623856802e-03, 1.677201546e-05, 2.678285714e-02, 2.766269130e-04
2.695000000e+00, 1.204566275e-03, 1.425647014e-05, 2.039714286e-02, 2.414074378e-04
2.765000000e+00, 9.056742667e-04, 1.220434539e-05, 1.573428571e-02, 2.120261824e-04
2.835000000e+00, 6.610002726e-04, 1.029675386e-05, 1.177428571e-02, 1.834143297e-04
2.905000000e+00, 5.059147048e-04, 8.899008603e-06, 9.234285714e-03, 1.624305189e-04
2.975000000e+00, 3.747879188e-04, 7.568770733e-06, 7.005714286e-03, 1.414790675e-04
3.045000000e+00, 2.475992453e-04, 6.080748669e-06, 4.737142857e-03, 1.163387033e-04
3.115000000e+00, 1.874386122e-04, 5.230901572e-06, 3.668571429e-03, 1.023798450e-04
3.185000000e+00, 1.334916993e-04, 4.365645389e-06, 2.671428571e-03, 8.736505629e-05
3.255000000e+00, 8.787224859e-05, 3.503695998e-06, 1.797142857e-03, 7.165677831e-05
3.325000000e+00, 7.111542033e-05, 3.118617485e-06, 1.485714286e-03, 6.515288143e-05
3.395000000e+00, 4.272705815e-05, 2.392255987e-06, 9.114285714e-04, 5.103020314e-05
3.465000000e+00, 3.385856551e-05, 2.107942215e-06, 7.371428571e-04, 4.589250973e-05
